,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Zenith4_RAW-0017-Garry,Zenith4_RAW-0017-Garry,"К сожалению, у меня не так много времени для разговора. Я нужен в зале заседаний.",,"Malheureusement, je ne peux pas parler longtemps. On m'attend à la salle de conférence.","Purtroppo, non ho molto tempo per parlare. C'è bisogno di me nella sala riunioni.",Leider kann ich mich nicht lange unterhalten. Ich werde im Sitzungssaal erwartet.,Por desgracia no tengo mucho tiempo para hablar. Me necesitan en la sala de juntas.,"Por desgracia, no tengo mucho tiempo para hablar. Me necesitan en la sala de juntas.",미안하지만 오래 대화할 시간이 없네요. 회의실에서 절 찾거든요.,,残念ですが、長話はできマセン。役員会議室に行かなくては。,"Infelizmente, não tenho muito tempo para conversar. Precisam de mim na sala de reuniões.",不幸的是，我没有时间闲谈了。我得去会议室。,很抱歉，我沒時間長聊。我必須前往會議室。,,,,,
Zenith4_RAW-0018-Garry,Zenith4_RAW-0018-Garry,"Возможно, вы хотели бы ознакомиться с моей презентацией? Эту презентацию я представлю совету директоров.","""presentation"" meaning, the kind of presentation a person would deliver in an office",Tu voudrais peut-être voir ma présentation ? C'est une présentation que je dois faire devant le comité directeur.,Vorresti per caso vedere la mia presentazione? È la presentazione che farò al consiglio.,"Willst du vielleicht meine Präsentation sehen? Es ist die Präsentation, die ich vor dem Vorstand halte.",¿Quizás te gustaría ver mi presentación? Es una presentación que haré ante la junta.,¿Quizás te gustaría ver mi presentación? Es una presentación que haré ante la junta.,혹시 제 프레젠테이션을 봐주시겠습니까? 임원들 앞에서 진행할 프레젠테이션입니다.,,よかったら、僕のプレゼンを見ますか？ 役員向けに行う予定なんデス。,Talvez você gostaria de ver a minha apresentação? É uma apresentação que vou fazer para a diretoria.,你想不想听我的演讲？这可是我给董事会准备的演讲。,也許你會想聽聽我的報告？這是我要向董事會發表的報告。,,,,,
Zenith4_RAW-0019-Choice,Zenith4_RAW-0019-Choice,"Конечно, как скажете.",,"Bien sûr, si tu veux.","Certo, se vuoi.","Klar, meinetwegen.",Pues vale.,"Sí, qué sé yo.","그래요, 그러든가요.",,ああ、何でもいい。,"Claro, pode ser.",好啊，随你便。,好吧，隨便啦。,,,,,
Zenith4_RAW-0020-Choice,Zenith4_RAW-0020-Choice,"Нет, уходите.",,"Non, va-t'en.","No, vai via.","Nein, geh weg.","No, vete.","No, lárgate.","싫어요, 저리 가요.",,いや、もう行けよ。,"Não, cai fora.",不想，请你离开。,不要，請離開。,,,,,
Zenith4_RAW-0021-Garry,Zenith4_RAW-0021-Garry,Очень хорошо. Сейчас я проведу свою презентацию.,From [0019-Choice],Très bien. Je vais donc faire ma présentation.,Molto bene. Adesso farò la mia presentazione.,Sehr gut. Ich halte nun meine Präsentation.,Muy bien. Ahora haré mi presentación.,Muy bien. Ahora haré mi presentación.,좋아요. 그럼 제 프레젠테이션을 시연해 볼게요.,,いいでしょう。では、プレゼンを始めマス。,Muito bem. Agora vou fazer a apresentação.,很好。那么演讲开始。,很好。我現在就開始報告。,,,,,
Zenith4_RAW-0022-Garry,Zenith4_RAW-0022-Garry,*кхм*,,*hum*,*ehm*,*hüstel*,*ejem*,*ejem*,크흠.,,オッホン。,*ahem*,*咳咳*,*清喉嚨*,,,,,
Zenith4_RAW-0023-Garry,Zenith4_RAW-0023-Garry,"Здравствуйте. Я {{Garry}}, из оперативного отдела управленческого управления и стратегических показателей.",This is just a random string of business-sounding words,"Salut. Je suis {{Garry}}, de la Division opérationnelle de la gouvernance managériale et des indicateurs stratégiques.","Ehilà. Sono {{Garry}}, della Divisione Operativa della Governance Manageriale e delle Metriche Strategiche.",Hallo. Ich bin {{Garry}} von der Abteilung Geschäftsführende Überwachung und Strategische Kriterien.,"Hola. Soy {{Garry}}, de la División Operativa de Gobernanza Gerencial y Métricas Estratégicas.","Hola. Soy {{Garry}}, de la División Operativa de Gobernanza Gerencial y Métricas Estratégicas.",안녕하세요. 경영 거버넌스 및 전략 지표 운영 부서의 {{Garry}}라고 합니다.,,ドーモ。僕は{{ギャリー}}。経営管理および戦略基準業務部門から来マシタ。,"Oi. Eu sou o {{Garry}}, da Divisão Operacional de Governança Gerencial e Métricas Estratégicas.",哈啰。我是{{Garry}}，来自经营管制和战略指标运营部。,哈囉。我是來自經營管理和策略指標運作部門的{{Garry}}。,,,,,
Zenith4_RAW-0024-Garry,Zenith4_RAW-0024-Garry,Моя сегодняшняя презентация посвящена нашим показателям соответствия показателей рентабельности собственного капитала клиентов за прошлый квартал.,"""customer equity return compliance metrics"" is also just random gibberish. ""last quarter"" means the previous 3-month period",Ma présentation d'aujourd'hui porte sur les indicateurs de conformité de notre rendement de l'équité client du dernier trimestre.,La presentazione di oggi riguarda i parametri di conformità del rendimento azionario dei clienti dell'ultimo trimestre.,Meine heutige Präsentation betrifft unsere Kundenkapitalrenditenkriterien des letzten Quartals.,Mi presentación de hoy trata de las métricas de cumplimiento de la rentabilidad del capital de nuestros clientes del último trimestre.,Mi presentación de hoy trata de las métricas de cumplimiento de la rentabilidad del capital de nuestros clientes del último trimestre.,오늘의 프레젠테이션은 지난 분기의 고객 주식 수익률 준수 지표에 관한 것입니다.,,今日のプレゼンは、前四半期の顧客株式配当コンプライアンス基準についてデス。,A minha apresentação de hoje aborda nossas métricas de cumprimento de retorno de equidade de clientes do último trimestre.,我今天演讲的主题是我司上季度的客户股权收益合规指标。,我今天的報告主題是上一季度的客戶股份收益合規性指標。,,,,,
Zenith4_RAW-0025-Garry,Zenith4_RAW-0025-Garry,"Здесь вы можете увидеть цифры, отражающие результаты за прошлый квартал.",,Vous pouvez voir ici les chiffres des résultats de notre dernier trimestre.,Qui puoi vedere i numeri che rappresentano i risultati dell'ultimo trimestre.,"Hier sehen Sie die Zahlen, die das Ergebnis des letzten Quartals darstellen.",Aquí se pueden ver los números que representan los resultados del último trimestre.,Aquí se pueden apreciar los números que representan los resultados del último trimestre.,여기서 지난 분기 실적을 나타내는 숫자를 확인해 보세요.,,こちらが前四半期の結果を表した数値デス。ご覧ください。,Aqui vocês podem ver os números que representam os resultados do último trimestre.,在这一页，大家可以看到上季度的业绩数据展示。,各位可以看見這些代表上一季成果的數字。,,,,,
Zenith4_RAW-0026-Garry,Zenith4_RAW-0026-Garry,Эти результаты соответствовали внутренним прогнозам во всех подразделениях.,"""internal projections across all divisions"" means ""what other departments in the company are saying""",Ces résultats étaient conformes aux projections internes de toutes les divisions.,Questi risultati erano coerenti con le proiezioni interne in tutte le divisioni.,Diese Resultate stimmen mit internen Prognosen in allen Abteilungen überein.,Estos resultados fueron coherentes con las proyecciones internas de los demás departamentos.,Estos resultados fueron coherentes con las proyecciones internas de los demás departamentos.,이러한 결과는 모든 부서의 내부 예측치와 일치했습니다.,,この結果は全部門における見解と一致していマス。,Esses resultados são consistentes com as projeções internas em todas as divisões.,这些业绩与所有部门的内部预测一致。,這些成果符合所有部門的期待。,,,,,
Zenith4_RAW-0027-Garry,Zenith4_RAW-0027-Garry,"Мой следующий слайд... О, у меня закончились слайды.",,"Ma diapo suivante… oh, je n'ai plus de diapo.","La mia prossima diapositiva... oh, ho finito le diapositive.","Auf der nächsten Folie … Oh, mir sind die Folien ausgegangen.","Mi próxima diapositiva... Oh, se me han acabado las diapositivas.","Mi próxima diapositiva... Ah, se me terminaron las diapositivas.","다음 슬라이드는... 아, 이제 슬라이드가 없네요.",,次のスライドは…おや、もうないな。,"O meu próximo slide... Ah, acabaram os slides.",接下来请看下一页……哦，没有下一页了。,下一張簡報……噢，簡報沒了。,,,,,
Zenith4_RAW-0028-Garry,Zenith4_RAW-0028-Garry,На этом моя презентация заканчивается. Спасибо».,,Ceci vient conclure ma présentation. Merci.,E con questo si conclude la mia presentazione. Grazie.,Damit ist meine Präsentation beendet. Danke.,Con esto concluye mi presentación. Gracias.,Con esto concluye mi presentación. Gracias.,제 프레젠테이션은 여기까집니다. 감사합니다.,,これでプレゼンは終わりデス。ありがとう。,Concluímos assim a apresentação. Obrigado.,我的演讲到此为止。谢谢大家。,我的報告到此結束。謝謝你們。,,,,,
Zenith4_RAW-0029-Garry,Zenith4_RAW-0029-Garry,Хотите получить физическую копию результатов за прошлый квартал? У меня с собой несколько тысяч копий.,,Est-ce que tu voudrais une copie physique des résultats du dernier trimestre ? J'en ai plusieurs exemplaires sur moi.,Vuoi una copia cartacea dei risultati dell'ultimo trimestre? Ho portato migliaia di copie.,Möchtest du einen Ausdruck der Ergebnisse des letzten Quartals? Ich habe mehrere Tausend Kopien bei mir.,¿Quieres una copia física de los resultados del último trimestre? Tengo varios miles de copias conmigo.,¿Quieres una copia física de los resultados del último trimestre? Tengo varios miles de copias conmigo.,혹시 지난 분기 실적을 인쇄본으로 드릴까요? 인쇄본을 수천 장 준비했거든요.,,前四半期の結果のコピーはいかがデスカ？ まだ何千枚もコピーはあるので。,Você gostaria de uma cópia física dos resultados do último trimestre? Tenho várias milhares de cópias comigo.,你想要一份上季度业绩报告的实物副本吗？我身上带着好几千份。,你想要上一季成果的紙本紀錄嗎？我印了上千份。,,,,,
Zenith4_RAW-0030-Choice,Zenith4_RAW-0030-Choice,"Хорошо, я возьму одну.",,"D'accord, je vais en prendre une.","Va bene, ne prendo una.","Alles klar, ich nehm eine.","Muy bien, dame una.","Bueno, dame una.","그래요, 하나 주세요.",,わかった。1枚もらうよ。,"Certo, vou querer uma.",好吧，给我一份。,好，給我一份。,,,,,
Zenith4_RAW-0031-Choice,Zenith4_RAW-0031-Choice,"Нет, спасибо.",,Non merci.,"No, grazie.","Nein, danke.","No, gracias.","No, gracias.",괜찮아요.,,遠慮しとく。,"Não, obrigada.",不用了，谢谢。,我才不要。,,,,,
Zenith4_RAW-0032-Garry,Zenith4_RAW-0032-Garry,"Обязательно разместите его в месте, которое часто посещают соответствующие акционеры.","""shareholders"" are people who are invested in the company
From [0030-Choice]",Pense à bien l'afficher dans un endroit visité régulièrement par les actionnaires concernés.,Assicurati di metterla in bella mostra per gli azionisti interessati.,"Stelle sie bitte in einem Bereich aus, der von relevanten Aktionären frequentiert wird.",Asegúrate de exhibirla en un área visitada con frecuencia por accionistas relevantes.,Asegúrate de exhibirla en un área visitada con frecuencia por accionistas relevantes.,반드시 관련 주주가 자주 다니는 장소에 전시해 두세요.,,当該株主がよく訪れる場所に必ず掲示してくださいネ。,Deixe ela numa área visitada com frequência por acionistas relevantes.,请务必把它摆放在相关股东经常光顾的地方。,請務必張貼在股東們經常去的區域。,,,,,
Zenith4_RAW-0033-Garry,Zenith4_RAW-0033-Garry,Я понимаю.,From [0031-Choice],Je comprends.,Capisco perfettamente.,Ich verstehe.,Entiendo.,Entiendo.,이해합니다.,,わかりマシタ。,Entendo.,我理解。,我明白。,,,,,
Zenith4_RAW-0034-Garry,Zenith4_RAW-0034-Garry,В это время я бы хотел выпить кофе. Можно мне чашечку кофе?,,"Pour l'instant, je prendrais bien un café. Je pourrais avoir une tasse de café ?",Adesso vorrei un caffè. Posso avere un caffè?,Jetzt gerade hätte ich gerne einen Kaffee. Könnte ich eine Tasse Tee haben?,Ahora me apetece un café. ¿Me puedes poner una taza de café?,Ahora me apetece un café. ¿Me puedes preparar una taza de café?,근데 마침 커피를 마시고 싶군요. 커피 한잔 부탁해도 될까요?,,では、コーヒーが欲しいデスネ。1杯もらえますか？,"Neste momento, eu gostaria de um café. Poderia me trazer um xícara de café?",现在我想喝一杯咖啡。可以给我来杯咖啡吗？,現在我想喝杯咖啡。我可以喝杯咖啡嗎？,,,,,
Zenith4_RAW-0035-Garry,Zenith4_RAW-0035-Garry,"Я понимаю. Прежде чем я уйду, я бы попросил чашечку кофе.",From [0020-Choice],"Je comprends. Avant que je ne m'en aille, j'aimerais bien une tasse de café.","Capisco. Prima di andare via, ti chiederei un caffè.","Ich verstehe. Bevor ich gehe, würde ich gerne eine Tasse Kaffee bestellen.","Entiendo. Antes de irme, me gustaría pedir una taza de café.","Entiendo. Antes de irme, me gustaría pedir una taza de café.",이해합니다. 그런데 가기 전에 커피 한잔 부탁하고 싶습니다.,,わかりマシタ。でも、その前にコーヒーを1杯注文したいな。,"Entendo. Antes que eu vá, gostaria de pedir uma xícara de café.",我理解。在我离开前，我想来杯咖啡。,我明白。在我離開前，我想點一杯咖啡。,,,,,
Zenith4_RAW-0036-Alta,Zenith4_RAW-0036-Alta,"Хм. Да, хорошо. Какой кофе вы хотите?",,"Hum… oui, d'accord. Quel genre de café tu voudrais ?","Ehm. Sì, va bene. Che tipo di caffè vuoi?","Äh … Ja, klar. Was für Kaffee möchtest du?","Mmm. Está bien, de acuerdo. ¿Qué tipo de café quieres?","Mmm... Está bien, no hay problema. ¿Qué tipo de café quieres?","음. 그래요, 알았어요. 어떤 커피를 원하는데요?",,ああ、まあいいか。どんなコーヒーにする？,"Ahm. Sim, tá bem. Que tipo de café você quer?",嗯。行吧。你想喝哪种咖啡？,呃。好噢。你想要哪種咖啡？,,,,,
Zenith4_RAW-0037-Garry,Zenith4_RAW-0037-Garry,Только обычный кофе.,,Juste un café normal.,Un semplice caffè filtrato.,Normalen Kaffee.,Solo café normal.,Café normal.,그냥 보통 커피요.,,普通のコーヒーを。,Só café normal.,普通的咖啡就好。,就一般的咖啡。,,,,,
Zenith4_RAW-0038-Alta,Zenith4_RAW-0038-Alta,Вздох... Отлично. - Обычный кофе. Сейчас принесу.,,"Ah… d'accord… un ""café normal"". Ça vient.","Oh... va bene. Un ""Caffè filtrato"" in arrivo.",Seufz … Meinetwegen. „Normalen Kaffee“. Kommt sofort.,"Uf... Está bien. ""Café normal"". Marchando ahora mismo.","Otra vez con lo mismo... Bueno, está bien. «Café normal». Ya te lo preparo.",휴... 알았어요. '보통 커피'. 바로 준비하겠습니다.,,ハァ…わかったよ。“普通のコーヒー”ね。待ってて。,"Tsc... Tá bem. ""Café normal"". Saindo.",唉……好吧。“普通咖啡”。马上就来。,唉……好。「一般的咖啡」。馬上來。,,,,,
Zenith4_RAW-0039-Garry,Zenith4_RAW-0039-Garry,Спасибо».,,Merci.,Grazie.,Danke.,Gracias.,Gracias.,감사합니다.,,よろしく。,Agradeço.,谢谢。,謝謝你。,,,,,
Zenith4_RAW-0040-Garry,Zenith4_RAW-0040-Garry,Это кофе?,,C'est du café ?,È questo un caffè?,Ist das Kaffee?,¿Es esto café?,¿Esto es café?,커피인가요?,,これがコーヒー？,Isso é café?,这是咖啡吗？,這是咖啡嗎？,,,,,
Zenith4_RAW-0041-Alta,Zenith4_RAW-0041-Alta,"Нет, это пустая чашка. Я вернусь с кофе.",,"Non, c'est une tasse vide. Je reviens avec du café.","No, questa è una tazza vuota. Tornerò con il caffè.","Nein, das ist eine leere Tasse. Ich komme bald mit Kaffee zurück.","No, esto es una taza vacía. Volveré con el café.","No, es una taza vacía. Enseguida vuelvo con el café.","아니요, 빈 잔이에요. 금방 만들어올게요.",,いや、空っぽのカップだ。すぐ淹れて来るよ。,"Não, essa é uma xícara vazia. Já volto com café.",不是，这就是个空杯子。我马上给你咖啡。,不是，這是空杯。我泡好茶再回來。,,,,,
Zenith4_RAW-0042-Alta,Zenith4_RAW-0042-Alta,Вот ваш кофе.,,Et voici ton café.,Ecco il tuo caffè.,Hier ist dein Kaffee.,Aquí tienes tu café.,Aquí tienes tu café.,커피 가져왔어요.,,コーヒーをどうぞ。,Aqui está o seu café.,你的咖啡，请用。,這是你點的咖啡。,,,,,
Zenith4_RAW-0043-Garry,Zenith4_RAW-0043-Garry,"Извините, чашка, которую вы держите в руках, довольно грязная. Я бы хотела другую чашку.",,"Excuse-moi, la tasse que tu m'apportes est sale. J'en voudrais une autre.","Scusa, la tazza che mi hai portato è piuttosto sporca. Ne vorrei un'altra.","Entschuldigung, die Tasse, die du da hast, ist sehr schmutzig. Ich hätte gerne eine andere Tasse.","Disculpa, la taza que tienes en la mano está bastante sucia. Me gustaría una taza diferente.","Disculpa, la taza que tienes en la mano está bastante sucia. Me gustaría una taza diferente.",실례지만 들고 계신 잔은 상당히 더럽군요. 다른 잔에 주셨으면 합니다.,,すみませんが、そのカップはずいぶん汚いデスネ。別のカップにしてください。,"Com licença, a xícara que você está segurando está bem suja. Eu gostaria de uma xícara diferente.",抱歉，你手里的杯子太脏了。我想换个杯子。,抱歉，你拿的杯子滿髒的耶。我想用別的杯子。,,,,,
