,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Zenith3_RAW-0010-Alta,Zenith3_RAW-0010-Alta,Тогда давайте что-нибудь с этим сделаем! Чего мы стоим без дела??,,"Alors, fais quelque chose ! Qu'est-ce qu'on attend ?",Allora facciamo qualcosa! Cosa stiamo aspettando?,Dann kümmern wir uns darum! Warum steht ihr nur so rum?,¡Entonces hagamos algo al respecto! ¿Por qué estamos aquí paradas?,¡Entonces hagamos algo al respecto! ¡¿Por qué estamos aquí paradas sin hacer nada?!,그럼 어떻게든 해결해야죠! 멀뚱히 서서 뭐 하는 거예요??,,じゃあ、さっさと何とかしよう！ 何をモタモタしてるんだ？,"Então, vamos fazer alguma coisa sobre isso! Pra que a gente tá parado aqui??",那赶紧做点什么吧！我们还愣着干嘛？？,那我們就做點什麼啊！我們為什麼要呆站在這裡？？,,,,,
Zenith3_RAW-0011-Zenith,Zenith3_RAW-0011-Zenith,...,,…,...,…,...,...,...,,…,...,……,……,,,,,
Zenith3_RAW-0012-Zenith,Zenith3_RAW-0012-Zenith,Человек {{Alta}}. Мы приносим извинения.,,Être humain {{Alta}}. Nous sommes désolés.,Essere umano {{Alta}}. Ci dispiace.,Menschin {{Alta}}. Es tut uns leid.,Humana {{Alta}}. Lo sentimos.,Humana {{Alta}}. Lo sentimos.,인간 {{Alta}}. 미안하구나.,,人間{{アルタ}}、申し訳アリマセン。,Humana {{Alta}}. Sentimos muito.,人类{{Alta}}。我等很抱歉。,人類{{Alta}}。我們很抱歉。,,,,,
Zenith3_RAW-0013-Zenith,Zenith3_RAW-0013-Zenith,Эта трансформация. Которую мы переживаем. Она важна для нас.,,Cette transformation. Dont nous faisons l'expérience. C'est important pour nous.,Questa trasformazione. Che stiamo vivendo. Per noi è importante.,Diese Verwandlung. Die wir erleben. Ist uns wichtig.,Esta transformación. Que estamos experimentando. Es importante para nosotras.,Esta transformación. Que estamos experimentando. Es importante para nosotras.,우리가 경험하고 있는. 이 변화는. 우리에게 중요하단다.,,今、ワタシタチは変化を体験してイマス。それは大事なコトです。,Essa transformação. Que estamos vivenciando. É importante para nós.,我等正经历的。这番变化。对我等至关重要。,我們正在。經歷的轉化。對我們來說很重要。,,,,,
Zenith3_RAW-0014-Zenith,Zenith3_RAW-0014-Zenith,Наши возможности. Помочь вам. Уменьшились.,,Notre capacité. À t'aider. A diminué.,La nostra capacità. Di aiutarti. È diminuita.,"Unsere Fähigkeit, dir. Zu helfen. Hat abgenommen.",Nuestra capacidad. Para ayudarte. Ha disminuido.,Nuestra capacidad. Para ayudarte. Ha disminuido.,널 도와줄. 우리의 능력은. 사라졌다.,,だからアナタを助けるチカラ。弱まってイマス。,Nossa capacidade. De ajudar você. Diminuiu.,我等。已经失去了。帮助你的能力。,我們幫助你。的能力。已經消失了。,,,,,
Zenith3_RAW-0015-Alta,Zenith3_RAW-0015-Alta,Я... но... что...,,Je… mais… qu'est-ce que…,Io... ma... cosa...,Ich …aber …was …,Yo... pero... qué...,Pero... Cómo... Qué...,하지만... 어째서... 그런...,,私は…でも…なんで…,Eu... mas... quê...,我……可是……什么……,我……但是……什麼……,,,,,
Zenith3_RAW-0016-Alta,Zenith3_RAW-0016-Alta,Я не... Я не понимаю!! Я не понимаю этого! Почему... почему...,,Je ne… je ne comprends pas ! Je ne comprends rien ! Pourquoi… pourquoi…,Non... non capisco! Non capisco! Perché... perché...,Ich … Ich verstehe nicht! Ich kapier es nicht! Warum …warum …,No... ¡No lo entiendo! ¡No lo pillo! Por qué... por qué...,"¡No...! ¡No entiendo! ¡En serio, no entiendo! ¿Por qué... Por qué...?",난... 난 이해할 수 없어요!! 도무지 모르겠다고요! 대체... 대체 왜...,,何が…どうなってるんだ！ 納得できない！ なんで…そんな…,Eu não... Eu não entendo!! Não entendo! Por quê... Por quê...,我……我就不明白了！！我搞不懂！为什么……为什么……,我不……我不懂！！我不懂明白！為什麼……為什麼……,,,,,
Zenith3_RAW-0017-Choice,Zenith3_RAW-0017-Choice,...зачем становиться бизнесменом? Почему ОНИ??,,… pourquoi se transformer en homme d'affaires ? Pourquoi EUX ??,… perché trasformarsi in uomini d'affari? Perché LORO?,…warum verwandelt ihr euch in einen Geschäftsmann? Warum DIE?,¿Por qué te transformas en un empresario? ¿Por qué ellos?,¡¿Por qué te transformas en un empresario?! ¡¿Por qué ellos?!,...왜 회사원으로 변하는 거예요? 왜 하필 그들이죠??,,…どうして会社員に変わるんだよ。なんであんな連中に？,Por que se transformar num homem de negócios? Por que ELES??,……你为什么要变身为商人的样子？偏偏要变成他们？？,……為什麼要轉化成生意人？為什麼是他們？？,,,,,
Zenith3_RAW-0018-Choice,Zenith3_RAW-0018-Choice,...почему вы больше не можете мне помочь??,,… pourquoi tu ne peux plus m'aider ?,… perché non puoi più aiutarmi?,…Warum könnt ihr mir nicht mehr helfen?,¿Por qué ya no puedes ayudarme?,¡¿Por qué ya no puedes ayudarme?!,...왜 더 이상 날 돕지 못하는 거죠??,,…なんでもう私を助けられないんだ？,Por que você não pode mais me ajudar??,……为什么你没法帮我了？？,……你們為什麼再也無法幫助我？？,,,,,
Zenith3_RAW-0019-Zenith,Zenith3_RAW-0019-Zenith,"Это то, чего мы хотим. Это то, к чему мы стремимся.",From [0017-Choice],C'est ce que nous désirons. C'est ce que nous cherchons.,È ciò che desideriamo. È ciò che cerchiamo.,"Es ist, was wir uns wünschen. Es ist, wonach wir suchen..",Es lo que deseamos. Es lo que buscamos.,Es lo que deseamos. Es lo que buscamos.,그게 우리의 열망이고. 우리가 추구하는 것이란다.,,これがワタシタチの望みデス。こうナリタイ。,É o que desejamos. É o que buscamos.,这模样正是我等所欲。这模样正是我等所求。,這是我們的渴望。這是我們的目標。,,,,,
Zenith3_RAW-0020-Zenith,Zenith3_RAW-0020-Zenith,Деловые люди. Они - наше предназначение.,,Les hommes des affaires. Ils sont notre destination.,Gli uomini degli affari. Sono la nostra destinazione.,Diese Männer des Geschäfts. Sie sind unser Ziel.,Los hombres de negocios. Ellos son nuestro destino.,Los hombres de negocios. Son nuestro destino.,회사원이 되는 것. 그게 우리의 목적지야.,,カイシャの方々。ワタシタチの目標デス。,Os homens de negócios. Eles são o nosso destino.,那群商界人士。正是我等的目标。,做生意的人。他們是我們的終點。,,,,,
Zenith3_RAW-0021-Alta,Zenith3_RAW-0021-Alta,То есть навсегда??,,Tu veux dire… pour toujours ?,Intendi per sempre?,Wie …für immer?,¿Para siempre?,¡¿Para siempre?!,"설마, 영원히요??",,じゃあ、ずっとそのまま？,"Tipo, permanentemente??",你是说永远持续下去吗？？,意思是，最後的終點？？,,,,,
Zenith3_RAW-0022-Zenith,Zenith3_RAW-0022-Zenith,Мы не понимаем.,,Nous ne comprenons pas.,Non comprendiamo la tua domanda.,Wir verstehen nicht.,No entendemos.,No entendemos.,무슨 말인지 모르겠구나.,,意味が、わかりマセン。,Não entendemos.,我等没明白你的话。,我們不知道。,,,,,
Zenith3_RAW-0023-Alta,Zenith3_RAW-0023-Alta,Вы собираетесь быть бизнесменом навсегда? Или это временно?,,Tu comptes devenir homme d'affaires pour toujours ? Ou bien c'est temporaire ?,Sarai un uomo d'affari per sempre? Oppure è una cosa temporanea?,Werdet ihr für immer ein Geschäftsmann bleiben? Oder ist das nur zeitweilig?,¿Vas a ser un hombre de negocios para siempre? ¿O esto es solo temporal?,¿Vas a ser un hombre de negocios para siempre? ¿O es algo temporal?,영원히 회사원이 되는 거예요? 아니면 일시적인 거예요?,,永久に会社員の姿になるのか？ それとも今だけってこと？,Você vai ser um homem de negócios pra sempre? Ou é temporário?,你打算永远变成商人的样子吗？还是说暂时变一下？,你們會永遠成為生意人嗎？還是說這只是暫時的？,,,,,
Zenith3_RAW-0024-Zenith,Zenith3_RAW-0024-Zenith,Мы все еще этого не делаем. Понимать.,,Nous ne comprenons. Toujours pas.,Ancora non. Comprendiamo.,Wir verstehen immer. Noch nicht.,Todavía no. Entendemos.,Seguimos. Sin entender.,여전히 무슨 말인지. 모르겠구나.,,それも、わかりマセン。,Ainda não. Entendemos.,我等还是。不明白你的话。,我們還是。不知道。,,,,,
Zenith3_RAW-0025-Alta,Zenith3_RAW-0025-Alta,"{{Zenith}}, давай, работай со мной! Это не то, что ты обещал!",,"{{Zenith}}, allez ! Travaille avec moi ! Ce n'est pas ce que tu m'avais promis !","{{Zenith}}, forza, rimani con me! Questo non è quello che avevi promesso!","{{Zenith}}, komm schon, ihr müsst mitmachen! Das ist nicht, was ihr mir versprochen habt!","¡{{Zenith}}, vamos, colabora conmigo! ¡Esto no es lo que prometiste!","¡Ay, vamos, {{Zenith}}! ¡No seas así! ¡Esto no es lo que prometiste!","{{Zenith}}, 빨리 하려던 거 마저 해요! 약속이 다르잖아요!",,{{ゼニス}}、頼むよ。私と一緒に来てくれ！ 話が違うだろ！,"{{Zenith}}, qual é, me ajuda! Não foi isso que você me prometeu!",{{Zenith}}，别闹了，配合我！这和你说好的可不一样！,{{Zenith}}，拜託，跟我合作！你們答應過我的！,,,,,
Zenith3_RAW-0026-Zenith,Zenith3_RAW-0026-Zenith,Мы желаем этого. Мы очень этого желаем. Но.,From [0018-Choice],Nous aimerions. Nous aimerions beaucoup. Mais.,Lo desideriamo. Lo desideriamo tantissimo. Ma.,Wir wollen. Wir wollen sehr. Aber.,Lo deseamos. Lo deseamos mucho. Pero.,Lo deseamos. Lo deseamos mucho. Pero.,우리도 돕고 싶단다. 정말 그러고 싶어. 하지만.,,アナタを助けタイ。心からそう思ってイマス。でも…,Desejamos. Desejamos muito. Mas.,我等愿意帮助你。我等真的很愿意帮助你。但是。,我們想啊。我們非常想。但是。,,,,,
Zenith3_RAW-0027-Zenith,Zenith3_RAW-0027-Zenith,Это не согласуется. С трансформацией. Которую мы переживаем.,,Ce n'est pas en alignement. Avec la transformation. Que nous subissons.,Non è in linea. Con la trasformazione. Che stiamo vivendo.,Es stimmt nicht mit. Der Verwandlung überein. Die wir durchlaufen.,No está alineado. Con la transformación. Que estamos sufriendo.,No está alineado. Con la transformación. Que estamos sufriendo.,지금 일어나는. 우리의 변화에는. 맞지 않는 일이야.,,同時にはムリなのデス。ワタシタチは変化を経てイマスカラ。,Não está alinhado. Com a transformação. Pela qual estamos passando.,那样做。和我等正在进行的变身。有所冲突。,這違背。我們正在經歷的。轉化。,,,,,
Zenith3_RAW-0028-Zenith,Zenith3_RAW-0028-Zenith,Они в противоречии. И так. Мы должны соответствовать трансформации.,,Ça ne colle pas. Et donc. Nous devons nous aligner avec la transformation.,È un dilemma. E così. Abbiamo scelto di allinearci con la trasformazione.,Sie stehen gegeneinander. Und darum. Müssen wir mit der Verwandlung übereinkommen.,Son deseos dispares. Y entonces. Debemos alinearnos con la transformación.,Son deseos dispares. Y entonces. Debemos alinearnos con la transformación.,둘은 상충해. 그래서. 우린 이 변화에 맞춰야 해.,,互いに干渉してシマウ。今は変化に同調しナクテハ。,"Elas discordam. E, por isso. Precisamos nos alinhar com a transformação.",两者不可兼得。所以。我等必须配合变身的步调。,這兩項任務相衝突。因此。我們必須遵照轉化。,,,,,
Zenith3_RAW-0029-Alta,Zenith3_RAW-0029-Alta,"Но как же все, что вы мне обещали? Как ты можешь так просто отказаться от этого?",,Mais tout ce que tu m'as promis ? Comment peux-tu tout abandonner comme ça ?,E tutto quello che mi hai promesso? Come puoi dimenticarlo così facilmente?,"Aber was ist mit allem, das ihr mir versprochen habt? Wie könnt ihr das einfach fallenlassen?",¿Pero qué pasa con todo lo que me prometiste? ¿Cómo puedes abandonar eso?,¿Pero qué pasa con lo que me prometiste? ¿Cómo puedes olvidarte de todo eso?,그렇지만 약속한 건 어쩌고요? 약속을 그렇게 내팽개쳐도 돼요?,,でも、私との約束はどうなる？ 何もかも投げ出すなんて、ひどすぎないか？,Mas e tudo que você me prometeu? Como você pode simplesmente abandonar isso?,但你答应我的事情怎么办？你怎么能就这样出尔反尔？,但你們答應過我的那些話呢？你們怎麼可以就這樣食言？,,,,,
Zenith3_RAW-0030-Alta,Zenith3_RAW-0030-Alta,"Ты сказал, что у тебя есть ответ! Ты сказал, что меня можно вылечить!",,Tu as dit que tu avais une réponse ! Tu as dit que je pouvais être guérie !,Hai detto di avere una risposta! Hai detto che potevo essere guarita!,"Ihr habt gesagt, ihr habt die Antwort! Ihr habt gesagt, ihr könnt mich reparieren!",¡Dijiste que tenías una respuesta! ¡Dijiste que me podía arreglar!,¡Dijiste que tenías una respuesta! ¡Dijiste que me podías ayudar!,답은 안다고 했잖아요! 날 고칠 수 있다고 했잖아요!,,答えがあると言ったろ！ 私を元に戻せるって！,Você disse que tinha uma resposta! Você disse que eu tinha solução!,你明明说过自己有答案的！你说过可以让我复原！,你說你有答案了！你說我可以被修復！,,,,,
Zenith3_RAW-0031-Zenith,Zenith3_RAW-0031-Zenith,Человек {{Alta}}. Ты действительно хочешь. Чтобы мы не трансформировались?,,Être humain {{Alta}}. Souhaites-tu réellement. Que nous ne nous transformions pas ?,Essere umano {{Alta}}. Desideri davvero. Che non ci trasformiamo?,"Menschin {{Alta}}. Willst du wirklich, dass. Wir uns nicht verwandeln?",Humana {{Alta}}. ¿Realmente deseas? ¿Que no nos transformemos?,Humana {{Alta}}. ¿En verdad deseas? ¿Que no nos transformemos?,인간 {{Alta}}. 정말 우리가. 변하지 않기를 바라니?,,人間{{アルタ}}、本当に望むノデスカ？ 変化を止めるコトを。,Humana {{Alta}}. Você realmente deseja. Que nós não nos transformemos?,人类{{Alta}}。你真的不希望。我们变身吗？,人類{{Alta}}。你真的希望。我們不要轉化嗎？,,,,,
Zenith3_RAW-0032-Zenith,Zenith3_RAW-0032-Zenith,Сопротивляться этому. Было бы. Гибельный.,,Y résister. Serait. Désastreux.,Opporre resistenza. Sarebbe. Disastroso.,Dem zu widerstehen. Wäre katastrophal. Desaströs.,Resistirlo. Sería. Desastroso.,Resistirlo. Sería. Desastroso.,변화를. 거부한 결과는. 처참할 거야.,,変化に抗えば、きっと、大惨事にナル。,Resistir a ela. Seria. Desastroso.,如果我等抗拒变身。那将带来。灾难性的后果。,抗拒轉化。會是。災難一場。,,,,,
Zenith3_RAW-0033-Zenith,Zenith3_RAW-0033-Zenith,Ты можешь это понять?,,Peux-tu comprendre ?,Puoi capirlo?,Kannst du verstehen?,¿Lo entiendes?,¿Entiendes?,이해할 수 있겠니?,,わかりマスか？,Consegue compreender?,你能理解吗？,你懂嗎？,,,,,
Zenith3_RAW-0034-Alta,Zenith3_RAW-0034-Alta,...вздыхаю...,,… pfff…,… oh...,…Seufz …,Uf...,Uf...,...휴…,,…ハァ…,Aff...,……唉……,……唉……,,,,,
Zenith3_RAW-0035-Alta,Zenith3_RAW-0035-Alta,"...хорошо. Отлично. Отлично. Я не понимаю, почему ты меняешься, но...",,"… OK. Très bien. Très bien. Je ne comprends pas pourquoi tu changes, mais…","E va bene. Va Bene. Non capisco perché stai cambiando, ma...","…Okay. Meinetwegen. Meinetwegen. Ich verstehe nicht, warum ihr euch verändern, aber …","Vale... Está bien. Está bien. No entiendo por qué estás cambiando, pero...","Bueno, está bien... De acuerdo. No entiendo por qué estás cambiando, pero...",그러니까 내 말은... 그쪽이 답을 안다고 했잖아요. 날 고칠 방법이 있다고 했잖아요.,,…わかった。もういいよ。変身してる理由は知らないけど…,"Tá. Beleza. Beleza. Eu não entendo por que você está mudando, mas...",……好吧，行。我不知道你为什么变了，但……,....好的。好。好。我不明白你為什麼要改變，但...,,,,,
Zenith3_RAW-0036-Alta,Zenith3_RAW-0036-Alta,"... но тогда не мог бы ты хотя бы указать мне правильное направление?? Скажи мне, что делать дальше?",,… mais tu ne pourrais pas au moins m'indiquer la bonne direction ? Me dire quoi faire ensuite ?,Non puoi almeno indicarmi la giusta direzione? Dirmi cosa fare?,"…könnt ihr mir wenigstens die Richtung zeigen? Mir sagen, was ich jetzt tun muss?","Pero entonces, ¿no puedes al menos indicarme la dirección correcta? ¿Decirme qué debo hacer a continuación?","Pero entonces, ¿no podrías al menos señalarme la dirección correcta? ¿Decirme qué debo hacer a continuación?",적어도 올바른 방향이라도 알려줄 순 없어요? 다음에 할 일을 말해줄 순 없어요?,,…でも、正しい方向だけでも示してくれないか？ 私は次に何をすればいい？,Mas você não pode pelo menos me indicar a direção certa?? Me dizer o que fazer?,……但你起码得给我指条明路吧？？至少告诉我下一步该怎么做？,……但是你不能至少指出我正確的方向嗎？告訴我下一步該怎麼做？,,,,,
Zenith3_RAW-0037-Alta,Zenith3_RAW-0037-Alta,"Должно же быть ЧТО-то, что я могу сделать сам, без тебя! Пожалуйста, просто подскажи, что мне предпринять!",,"Il doit bien y avoir QUELQUE CHOSE que je peux faire toute seule, sans toi ?! S'il te plaît, dis-moi ce que je dois faire !","Ci deve essere QUALCOSA che posso fare da sola, senza di te! Ti prego, dimmi cosa posso fare!","Es muss doch IRGENDWAS geben, was ich selbst tun kann, ohne euch! Bitte, gebt mir einfach nur eine Sache, die ich machen kann!","¡Debe haber algo que pueda hacer por mi cuenta, sin ti! ¡Por favor, solo dame una acción que pueda hacer!","¡Debe haber algo que pueda hacer por mi cuenta! ¡Algo que pueda hacer sin ti! ¡Por favor, muéstrame el rumbo que debo tomar y ya!",나를 닮은 존재를 통제할 방법을 알아내야 해요. 어떻게 해야 하는지 알고 있어요?,,あんたナシでもできることが、きっとあるはずだ！ 頼むよ。どんな行動を取ればいいかだけ教えてくれ！,"Tem que ter ALGUMA COISA que eu possa fazer sozinha, sem você! Por favor, me indica uma ação que eu possa tomar!",哪怕不靠你，我自己肯定也能做些什么！求你了，告诉我该怎么做吧！,沒有你，我自己一定能做點什麼！請給我一個我可以採取的行動！,,,,,
Zenith3_RAW-0038-Zenith,Zenith3_RAW-0038-Zenith,Хм.,,Hum…,Hmm…,Mmh.,Mmm.,Mmm...,흐음.,,フーム。,Hmm.,唔。,嗯。,,,,,
Zenith3_RAW-0039-Zenith,Zenith3_RAW-0039-Zenith,Что-то. Ты можешь это сделать.,,Quelque chose. Que tu dois faire.,Qualcosa. Che puoi fare.,Etwas. Das du tun kannst.,Algo. Que puedes hacer.,Algo. Que puedas hacer.,네가 할 수 있는. 일이란 말이지.,,何か。アナタにできるコト。,Alguma coisa. Que você possa fazer.,有什么。是你能做的呢？,你可以。做的事。,,,,,
Zenith3_RAW-0040-Zenith,Zenith3_RAW-0040-Zenith,Да. Мы бы посоветовали. Вам следует хорошенько сосредоточиться. На вашей боли.,,Oui. Nous pourrions te suggérer. De te concentrer profondément. Sur ta douleur.,Sì. Ti consigliamo. Di concentrarti profondamente. Sul tuo dolore.,"Ja. Wir schlagen vor, dass. Du dich konzentrierst. Auf deinen Schmerz.",Sí. Sugerimos. Que te concentres profundamente. En tu dolor.,Sí. Sugerimos. Que te concentres a fondo. En tu dolor.,그래. 그렇다면. 온전히 집중해 보렴. 너의 고통에.,,ありマス。提案しマショウ。向き合うノデス。心の奥の痛みと。,Sim. Nós sugeriríamos. Que você sem concentre profundamente. Na sua dor.,是有的。我等建议。你将注意力。完全集中在自己的痛苦上。,對。我們建議你。專注在。深層的痛苦上。,,,,,
Zenith3_RAW-0041-Zenith,Zenith3_RAW-0041-Zenith,Вашем беспокойстве. Вашей незавершенности. Вашей скованности. Направьте свое внимание. На это.,,Tes malaises. Tes inachèvements. Tes contraintes. Concentre ton attention. Sur ça.,Il tuo disagio. La tua incompletezza. Il tuo vincolo. Focalizza la tua attenzione. Su questi aspetti.,Deine Unruhe. Deine Unvollständigkeit. Deine Beschränkung. Richte deine Aufmerksamkeit. Auf sie.,Tu malestar. Tu incompletitud. Tu limitación. Dirige tu atención. A todo esto.,Tu malestar. Tu incompletitud. Tu limitación. Dirige tu atención. A todo eso.,너의 불안에. 너의 불완전함에. 너의 제약에. 주의를 집중해 봐. 그런 것에.,,アナタの不安。不完全さ。自分を縛るもの。目を向けてミテ。そのスベテに。,Sua impaciência. Sua incompletude. Sua restrição. Foque sua atenção. Nisso.,还有你的不安。你的缺憾。你的束缚。将注意力。集中在这些事情上。,你的不安。你的欠缺。你的限制。讓你的注意力。集中在這些問題上。,,,,,
Zenith3_RAW-0042-Zenith,Zenith3_RAW-0042-Zenith,Это еще не весь процесс. Это не исцелит вас полностью. Но это только начало.,,Ce n'est pas le processus complet. Ça ne te guérira pas complètement. Mais c'est un début.,Non è il processo completo. Non ti guarirà completamente. Ma è un inizio.,Das ist nicht der ganze Prozess. Es wird nicht völlig heilen. Aber es ist ein Anfang.,No es todo el proceso. No te curará por completo. Pero es un comienzo.,No es todo el proceso. No te curará por completo. Pero es un comienzo.,물론 그게 전부는 아니야. 그걸로 완전히 치유되는 것도 아니고. 하지만 그게 시작이란다.,,それだけでは終わりマセン。完全には癒やされナイ。でも、まずはそこからデス。,Esse não é o processo completo. Ele não curará você completamente. Mas é um começo.,这并非完整的治疗方案。并不能完全治好你。但这至少是一个开始。,這並非全部的過程。這不會徹底療癒你。但這是開始。,,,,,
