,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Zenith2_RAW-0010-Choice,Zenith2_RAW-0010-Choice,"Что ж, давай вернемся и сделаем это снова.",,"Bien, retournons-y pour recommencer.","Bene, ritorniamoci e facciamo un altro tentativo.","Na los, gehen wir raus und probieren es nochmal.","Bueno, regresemos y hagámoslo otra vez.","Bueno, regresemos y hagámoslo otra vez.",그럼 빨리 돌아가서 하던 거 마저 해요.,,じゃあ、また森へ行ってやり直そう。,"Bem, vamos ir até lá e faremos de novo.",行吧，我们再到森林里去试一次吧。,好，那就回去再做一次。,,,,,
Zenith2_RAW-0011-Choice,Zenith2_RAW-0011-Choice,…ты носишь галстук?,"""tie"" means a ""necktie"", the kind a businessman would wear to work",… est-ce que tu portes une cravate ?,… Indossi una cravatta?,…Trägt ihr eine Krawatte?,¿Llevas corbata?,¿Eso es una corbata?,...그거 넥타이예요?,,…ネクタイを着けてる？,E você estava usando uma gravata?,……你怎么还打上领带了？,……你們繫領帶嗎？,,,,,
Zenith2_RAW-0012-Zenith,Zenith2_RAW-0012-Zenith,"Да. Мы встретимся с вами еще раз, в лесу. \n <Zenith>Еще одна попытка.</>",From [0010-Choice],"Oui. Nous t'y retrouverons, dans la forêt. \n <Zenith>Une autre tentative.</>","Sì. Ci incontreremo ancora una volta, nella foresta. \n <Zenith>Un altro tentativo.</>","Ja. Wir werden dich noch einmal treffen, im Wald. \n <Zenith>Noch ein Versuch.</>","Sí. Nos encontraremos contigo una vez más, en el bosque. \n <Zenith>Otro intento.</>",Sí. Nos encontraremos contigo una vez más. En el bosque. \n <Zenith>Otro intento.</>,그래. 다시 한번 숲에서 보자. \n <Zenith>다시 시도해 보자.</>,,ええ、また会いマショウ。森の中で。 \n <Zenith>モウイチド。</>,"Sim. Nós encontraremos você novamente, na floresta. \n <Zenith>Outra tentativa.</>",好的。那么我们森林里再见。 \n <Zenith>再试一次。</>,對。我們會再次於森林中與你相見。\n<Zenith>再試一次。</>,,,,,
Zenith2_RAW-0013-Zenith,Zenith2_RAW-0013-Zenith,"Ах, да. Мы ощущаем изменение. Внутри себя. <Zenith> Происходит движение.</>",From [0011-Choice],"Ah, oui. Nous percevons un changement. En nous. \n <Zenith>Un mouvement.</>","Ah, sì. Percepiamo un cambiamento. Dentro di noi. \n <Zenith>Un movimento.</>","Ah, ja. Wir nehmen einen Wandel in. Uns selbst wahr. \n <Zenith>Eine Bewegung.</>","Ah, sí. Estamos percibiendo un cambio. Dentro de nosotras mismas. \n <Zenith>Un movimiento.</>",Sí. Estamos percibiendo un cambio. En nuestro interior. \n <Zenith>Un movimiento.</>,"아, 맞아. 우리 안에서 변화가. 일어나고 있단다. \n <Zenith>움직임이 있어.</>",,ああ、そうデスネ。ワタシタチは変わりつつアル。内なる変化デス。 \n <Zenith>ムーブメント。</>,"Ah, sim. Estamos percebendo uma mudança. Em nós. \n <Zenith>Um movimento.</>",啊，是的。我等察觉到。自身在发生变化。 \n <Zenith>就在一瞬间。</>,啊，對。我們正在領受變化。內在的變化。\n<Zenith>演變。</>,,,,,
Zenith2_RAW-0014-Zenith,Zenith2_RAW-0014-Zenith,"Мы не хотели, чтобы это случилось. Так получилось. Это просто случилось.",,"Nous n'y sommes pour rien. Si cela s'est produit. Ça s'est produit, tout simplement.",Non volevamo farlo. Accadere. È semplicemente accaduto.,"Wir haben nicht. Beabsichtigt, dass es passiert. Es ist einfach geschehen.",No era nuestra intención. Que ocurriera. Simplemente ocurrió.,No era nuestra intención. Que ocurriera. Ocurrió sin más.,변화를 의도한 건. 아니었어. 그냥 그런 일이 일어났지.,,自分タチの意思ではアリマセン。ただ変化が起キタ。,Não era a nossa intenção. Que acontecesse. Simplesmente aconteceu.,我等并非刻意。要让其发生。它是凭空发生的。,我們並未預期。它會發生。它就這麼發生了。,,,,,
Zenith2_RAW-0015-Zenith,Zenith2_RAW-0015-Zenith,Но это прекрасно! Мы в восторге от этого! \п <Zenith> В восторге!</>,,Mais c'est adorable ! Nous en sommes ravis ! \n <Zenith>Délicieux !</>,Ma è adorabile! Lo troviamo delizioso! \n <Zenith>Delizioso!</>,Aber es ist wunderbar! Es ist eine wahre Wonne! \n <Zenith>Wonne!</>,¡Pero es encantador! ¡Estamos encantadas con ello! \n <Zenith>¡Encantadas!</>,¡Pero es encantador! ¡Estamos encantadas con ello! \n <Zenith>¡Encantadas!</>,하지만 정말 좋은 일이야! 정말 근사해! \n <Zenith>근사해!</>,,でもステキな気分デス！ ワタシタチは楽しイ！ \n <Zenith>タノシイ！</>,Mas é adorável! É uma maravilha para nós! \n <Zenith>Maravilha!</>,但这番变化着实喜人！令我等十分愉悦！ \n <Zenith>愉悦非常！</>,但這變化相當美好！我們感到很欣喜！\n<Zenith>喜悅！</>,,,,,
Zenith2_RAW-0016-Zenith,Zenith2_RAW-0016-Zenith,Не правда ли. Восхитительно??,,N'est-ce pas. Délicieux ?,Non è. Delizioso?,Ist es nicht. Wonnig?,¿No es? ¿Encantador?,¡¿No es?! ¡¿Encantador?!,정말로. 근사하지 않니??,,楽しく…アリマセンカ？,Não é. Maravilhoso??,这难道。不是太妙了吗？？,領帶。不可愛嗎？？,,,,,
Zenith2_RAW-0017-Choice,Zenith2_RAW-0017-Choice,Я имею в виду... уверен?,,"C'est que… oui, sûrement ?","Direi... ma sì, certo!",Naja …schon?,Esto... ¿claro?,"Eeehh... Sí, creo...",뭐... 그런 것 같기도?,,まあ…楽しいかも？,Acho que... sim?,我想说……是啊？,算……可愛吧？,,,,,
Zenith2_RAW-0018-Choice,Zenith2_RAW-0018-Choice,Это не.,,Non.,Non lo è.,Ist es nicht.,No.,No.,전혀요.,,楽しくない。,Não é.,这一点也不妙。,不可愛。,,,,,
Zenith2_RAW-0019-Zenith,Zenith2_RAW-0019-Zenith,ТОГДА МЫ. СОГЛАСНЫ! \n <Zenith>ЕДИНОГЛАСНО!</>,From [0017-Choice],ALORS NOUS SOMMES D'ACCORD ! \n <Zenith>UNANIMES !</>,ALLORA SIAMO. D'ACCORDO! \n <Zenith>UNANIME!</>,DANN SIND. WIR UNS EINIG! \n <Zenith>EINSTIMMIG!</>,¡ENTONCES ESTAMOS! ¡DE ACUERDO! \n <Zenith>¡UNÁNIME!</>,¡ENTONCES ESTAMOS! ¡DE ACUERDO! \n <Zenith>¡UNÁNIME!</>,우린 서로. 생각이 같구나! \n <Zenith>의견 일치야!</>,,それなら、ワタシタチの心は1つデス！ \n <Zenith>マッタクオナジ！</>,ENTÃO. CONCORDAMOS! \n <Zenith>UNÂNIME!</>,那么我们。所见略同！ \n <Zenith>达成一致！</>,那我們。達成共識！\n<Zenith>意見一致！</>,,,,,
Zenith2_RAW-0020-Zenith,Zenith2_RAW-0020-Zenith,Ой. Мы видим.,From [0018-Choice],Ah. Nous voyons.,Oh.,Oh. Wir verstehen.,Ah. Ya vemos.,Ah. Ya vemos.,아. 그렇구나.,,おや、そうデスカ。,Ah. Entendemos.,哦。好吧。,噢。我們明白。,,,,,
Zenith2_RAW-0021-Zenith,Zenith2_RAW-0021-Zenith,К несчастью. Мы с вами не согласны. Мы считаем это невероятным. Самым очаровательным. \п <Zenith>Самым.</>,,"Malheureusement, nous ne sommes pas d'accord. Nous trouvons cela assez incroyable. Assez charmant. \n <Zenith>Assez.</>",Purtroppo. Non siamo d'accordo. Lo troviamo davvero incredibile. Davvero affascinante. \n <Zenith>Davvero.</>,Leider stimmen. Wir dir nicht zu. Wir finden es unglaublich. Ganz bezaubernd. \n <Zenith>Ganz.</>,Desafortunadamente. No estamos de acuerdo. Nos parece de lo más increíble. De lo más encantador. \n <Zenith>De lo más.</>,Por desgracia. No estamos de acuerdo. Nos parece de lo más increíble. De lo más encantador. \n <Zenith>De lo más.</>,아쉽게도. 우리 생각은 달라. 가장 놀랍고. 멋진 일이라고 생각해. \n <Zenith>정말 멋져.</>,,残念ながら、意見が分かれマシタネ。でも、スバラシイ！ 最高にチャーミング！ \n <Zenith>サイコー。</>,Infelizmente. Não concordamos. Achamos muito incrível. Muito encantador. \n <Zenith>Muito.</>,真可惜。我等持相反看法。我等认为它简直不可思议。奇妙非常。 \n <Zenith>奇妙非常。</>,可惜。我們不同意。我們覺得領帶非常美麗。非常迷人。\n<Zenith>非常。</>,,,,,
Zenith2_RAW-0022-Alta,Zenith2_RAW-0022-Alta,"Да, как скажешь. Ты сказал, что собираешься мне помочь, давай вернемся к этому.",,"Ouais, peu importe. Tu as dit que tu allais m'aider, occupons-nous de ça.","Non ha importanza. Avevi detto che mi avresti aiutato, concentriamoci su questo.","Ja, meinetwegen. Ihr meintet, ihr wollt mir helfen, reden wir nochmal darüber.","Sí, lo que sea. Dijiste que me ibas a ayudar, volvamos a eso.","Sí, bueno, lo que sea. Dijiste que me ibas a ayudar, así que volvamos a eso.","그래요, 그렇게 생각하세요. 어쨌든 날 도와주기로 했으니 그 얘기로 돌아가자고요.",,まあ、いいや。私の手助けをしてくれると言ったろ。それをやり直そう。,"Tá bom, então. Você disse que ia me ajudar, vamos voltar a esse assunto.",嗯，你高兴就好。但你说过要帮我的，干正事吧。,好，隨便啦。你們說要幫助我，那就開始吧。,,,,,
Zenith2_RAW-0023-Zenith,Zenith2_RAW-0023-Zenith,"Да. Мы согласны. Мы встретимся с вами еще раз, в лесу. \п <Zenith>Еще одна попытка.</>",,"Oui. Nous sommes d'accord. Nous te rejoindrons à nouveau, dans la forêt. \n <Zenith>Une autre tentative.</>","Sì. Siamo d'accordo. Ci incontreremo ancora una volta, nella foresta. \n <Zenith>Un altro tentativo.</>","Ja. Wir stimmen zu. Wir werden dich noch einmal treffen, im Wald. \n <Zenith>Noch ein Versuch.</>","Sí. Estamos de acuerdo. Nos encontraremos contigo una vez más, en el bosque. \n <Zenith>Otro intento.</>",Sí. Estamos de acuerdo. Nos encontraremos contigo una vez más en el bosque. \n <Zenith>Otro intento.</>,그래. 같은 생각이야. 다시 한번 숲에서 보자꾸나. \n <Zenith>다시 시도해 보자.</>,,ええ、そうデスネ。また会いマショウ。森の中で。 \n <Zenith>モウイチド。</>,"Sim. Concordamos. Nós encontraremos você novamente, na floresta. \n <Zenith>Outra tentativa.</>",是的。我等同意。那么我们森林里再见。 \n <Zenith>再试一次。</>,對。我們同意。我們會再次於森林中與你相見。\n<Zenith>再試一次。</>,,,,,
