,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Zenith_RAW-0016-Zenith,Zenith_RAW-0016-Zenith,"Мы видим по твоему лицу, этот ответ не помогает. \n <Zenith>Смущён.</>",,Nous lisons sur ton visage que cette réponse ne t'aide pas beaucoup. \n <Zenith>Confuse.</>,"Lo vediamo dalla tua faccia, che non è una risposta utile. \n <Zenith>Confusione.</>","Wir sehen auf deinem Gesicht, dass diese Antwort nicht hilft. \n <Zenith>Verwirrt.</>",Vemos en tu cara que esta no es una respuesta útil. \n <Zenith>Confundida.</>,Vemos en tu cara que esta no es una respuesta útil. \n <Zenith>Confundida.</>,표정을 보니 답이 도움이 되지 않았구나. \n <Zenith>혼란스럽나 보다.</>,,顔に書いてありマスネ。よくわからナイ答えだと。 \n <Zenith>ヤヤコシイ。</>,Vemos em seu rosto que essa não é uma resposta útil. \n <Zenith>Confusa.</>,看来，我等的回答没能为你解惑。 \n <Zenith>令人困惑。</>,從你的表情看來，這個回答幫助不大。\n<Zenith>困惑。</>,,,,,
Zenith_RAW-0017-Alta,Zenith_RAW-0017-Alta,"Просто, эээ... Я никогда раньше не видела ничего подобного тебе.",,C'est que… euh… je n'avais encore jamais vu quelque chose comme toi.,È solo che... non ho mai visto niente del genere prima d'ora.,"Es ist nur, äh … Ich habe noch nie etwas wie euch gesehen.",Solo es que... Nunca había visto a alguien como tú.,Pasa que nunca había visto a alguien... o algo... como tú.,"그게, 저... 난 그쪽 같은 존재를 본 적이 없어서요.",,いや、ただ…あんたみたいなのは初めて見るから。,"É que, ahm... eu nunca vi nada como você antes.",那个，呃……我从未见识过你这样的存在。,就，呃……我從來沒見過跟你們一樣的東西。,,,,,
Zenith_RAW-0018-Zenith,Zenith_RAW-0018-Zenith,"И мы, в свою очередь, никогда не видели ничего подобного тебе. Это радость. Открывать! \n <Zenith>Радостно!</>",,"Et nous, à notre tour, n'avions jamais vu quelque chose comme toi. C'est un plaisir. À découvrir ! \n <Zenith>Heureux !</>","E noi, a nostra volta, non abbiamo mai visto niente come te. È una felicità. Da scoprire! \n <Zenith>Felicità!</>",Und wir unsererseits haben noch nie etwas wie dich gesehen. Es ist eine Freude. Zu entdecken! \n <Zenith>Freudig!</>,"Y nosotras, de igual modo, nunca hemos visto nada como tú. Es una alegría. ¡Descubrir! \n <Zenith>¡Alegre!</>","Y nosotras, de igual modo, nunca habíamos visto nada como tú. ¡Es una alegría! ¡Descubrir! \n <Zenith>¡Alegre!</>",우리도 너와 같은 존재를 본 적이 없단다. 발견하게 되어. 정말 기쁘다! \n <Zenith>기뻐!</>,,ワタシタチも同じ。あなたのような方は初めて見マス。それは喜び。発見デス！ \n <Zenith>ヨロコビ！</>,"E nós, por nossa vez, nunca vimos nada como você. É um prazer. Descobrir! \n <Zenith>Que alegria!</>",而我等也从未见过你这般人物。遇见你。真是开心！ \n <Zenith>开心！</>,而我們也從未見過任何跟你一樣的東西。這就是。探索的樂趣！\n<Zenith>真快樂！</>,,,,,
Zenith_RAW-0019-Zenith,Zenith_RAW-0019-Zenith,Бесконечный Путь! Какой славный путь! \n <Zenith>Славный!</>,From [0008-Choice],Le Sentier infini ! Quel sentier splendide ! \n <Zenith>splendide !</>,Il Sentiero Infinito! Che sentiero glorioso! \n <Zenith>Glorioso!</>,Der Endlose Pfad! Was für ein ruhmreicher Pfad! \n <Zenith>Ruhmreich!</>,¡El Camino Infinito! ¡Qué camino tan glorioso! \n <Zenith>¡Glorioso!</>,¡El Camino Infinito! ¡Qué camino tan glorioso! \n <Zenith>¡Glorioso!</>,무한의 길! 영광스러운 길이지! \n <Zenith>영광스럽지!</>,,“無限の路”！ なんと輝かしい路でショウ！ \n <Zenith>マブシイ！</>,O Caminho Infinito! Que caminho glorioso! \n <Zenith>Glorioso!</>,无垠之路！它是无比辉煌的道路！ \n <Zenith>辉煌之路！</>,無限通道！多壯麗的通道啊！\n<Zenith>壯麗！</>,,,,,
Zenith_RAW-0020-Zenith,Zenith_RAW-0020-Zenith,"Линия, которая соединяет. Все сознания. Нанизывает их на бесконечную нить. \n <Zenith>Бесконечную.</>",,La ligne qui connecte. Toutes les consciences. Reliées sur le fil éternel. \n <Zenith>Éternel.</>,La linea che collega. Tutte le coscienze. Legandole al filo infinito. \n <Zenith>Infinito.</>,"Die Linie, die alle. Bewusstheiten verbindet. Sie auf einen unaufhörlichen Faden fädelt. \n <Zenith>Unaufhörlich.</>",La línea que conecta. Todas las conciencias. Las encadena al hilo interminable. \n <Zenith>Infinito.</>,La línea que conecta. Todas las conciencias. Las encadena al hilo interminable. \n <Zenith>Infinito.</>,그건 모든 의식을. 연결하는 선이란다. 의식이 끝없는 실타래에 연결되어 있어. \n <Zenith>끝없이.</>,,繋いでいるのデス。あらゆる意識を。終わりなき糸を紡ぐヨウニ。 \n <Zenith>ハテシナク。</>,A linha que conecta. Todas as consciências. As une em um fio infinito. \n <Zenith>Infinito.</>,它连接着。一切有意识的生命。它把一切生命汇聚在无尽的洪流中。 \n <Zenith>无尽的洪流。</>,連結的線路。所有意識。串連在永不終結的線路上。\n<Zenith>永不終結。</>,,,,,
Zenith_RAW-0021-Zenith,Zenith_RAW-0021-Zenith,Мы шли по нему. Мы танцевали по нему. Мы нашли его восхитительным. \n <Zenith>Восхитительным.</>,,Nous y avons marché. Nous y avons dansé. Nous l'avons trouvé délicieux. \n <Zenith>Délicieux.</>,L'abbiamo camminato. L'abbiamo ballato. L'abbiamo trovato delizioso. \n <Zenith>Delizioso.</>,Wir haben ihn beschritten. Wir haben ihn übertanzt. Wir fanden ihn wonnig. \n <Zenith>Wonnig.</>,Hemos caminado por él. Hemos bailado por él. Nos pareció encantador. \n <Zenith>Encantador.</>,Hemos caminado por él. Hemos bailado por él. Nos pareció encantador. \n <Zenith>Encantador.</>,그 길을 걸었어. 그 길을 춤췄어. 정말 근사했지. \n <Zenith>근사했어.</>,,ワタシタチは無限の路を歩んだ。踊りながラ。楽しカッタ。 \n <Zenith>タノシイ。</>,Caminhamos por ele. Dançamos nele. Encontramos prazer nele. \n <Zenith>Maravilhoso.</>,我等于其中行走。我等于其上舞动。我等见证它的妙不可言。 \n <Zenith>妙不可言。</>,我們在其上走動。我們在其上舞動。我們充滿喜悅。\n<Zenith>歡欣無比。</>,,,,,
Zenith_RAW-0022-Zenith,Zenith_RAW-0022-Zenith,"Мы видим по твоему лицу, этот ответ не помогает. \n <Zenith>Смущён.</>",,Nous lisons sur ton visage que cette réponse ne t'aide pas beaucoup. \n <Zenith>Confuse.</>,"Lo vediamo dalla tua faccia, che non è una risposta utile. \n <Zenith>Confusione.</>","Wir sehen auf deinem Gesicht, dass diese Antwort nicht hilft. \n <Zenith>Verwirrt.</>",Vemos en tu cara que esta no es una respuesta útil. \n <Zenith>Confundida.</>,Vemos en tu cara que esta no es una respuesta útil. \n <Zenith>Confundida.</>,표정을 보니 답이 도움이 되지 않았구나. \n <Zenith>혼란스럽나 보다.</>,,顔に書いてありマスネ。よくわからナイ答えだと。 \n <Zenith>ヤヤコシイ。</>,Vemos em seu rosto que essa não é uma resposta útil. \n <Zenith>Confusa.</>,看来，我等的回答没能为你解惑。 \n <Zenith>令人困惑。</>,從你的表情看來，這個回答幫助不大。\n<Zenith>困惑。</>,,,,,
Zenith_RAW-0023-Alta,Zenith_RAW-0023-Alta,"Просто, эээ... Я никогда раньше не видела ничего подобного тебе.",,C'est que… euh… je n'avais encore jamais vu quelque chose comme toi.,È solo che... non ho mai visto niente del genere prima d'ora.,"Es ist nur, äh … Ich habe noch nie etwas wie euch gesehen.",Solo es que... Nunca había visto a alguien como tú.,Pasa que nunca había visto a alguien... o algo... como tú.,"그게, 저... 난 그쪽 같은 존재를 본 적이 없어서요.",,いや、ただ…あんたみたいなのは初めて見るから。,"É que, ahm... eu nunca vi nada como você antes.",那个，呃……我从未见识过你这样的存在。,就，呃……我從來沒見過跟你們一樣的東西。,,,,,
Zenith_RAW-0024-Zenith,Zenith_RAW-0024-Zenith,"И мы, в свою очередь, никогда не видели ничего подобного тебе. Это радость. Открывать! \n <Zenith>Радостно!</>",,"Et nous, à notre tour, n'avions jamais vu quelque chose comme toi. C'est un plaisir. À découvrir ! \n <Zenith>Heureux !</>","E noi, a nostra volta, non abbiamo mai visto niente come te. È una felicità. Da scoprire! \n <Zenith>Felicità!</>",Und wir unsererseits haben noch nie etwas wie dich gesehen. Es ist eine Freude. Zu entdecken! \n <Zenith>Freudig!</>,"Y nosotrss, de igual modo, nunca hemos visto nada como tú. Es una alegría. ¡Descubrir! \n <Zenith>¡Alegre!</>","Y nosotras, de igual modo, nunca habíamos visto nada como tú. ¡Es una alegría! ¡Descubrir! \n <Zenith>¡Alegre!</>",우리도 너와 같은 존재를 본 적이 없단다. 발견하게 되어. 정말 기쁘다! \n <Zenith>기뻐!</>,,ワタシタチも同じ。あなたのような方は初めて見マス。それは喜び。発見デス！ \n <Zenith>ヨロコビ！</>,"E nós, por nossa vez, nunca vimos nada como você. É um prazer. Descobrir! \n <Zenith>Que alegria!</>",而我等也从未见过你这般人物。遇见你。真是开心！ \n <Zenith>开心！</>,而我們也從未見過像你這樣的東西。這就是。探索的樂趣！\n<Zenith>真快樂！</>,,,,,
Zenith_RAW-0025-Zenith,Zenith_RAW-0025-Zenith,Мы видим на твоём лице замешательство. \n <Zenith>Дезориентирован.</>,From [0009-Choice],"Nous lisons sur ton visage, la confusion. \n <Zenith>Désorientée.</>",Vediamo la confusione sul tuo volto. \n <Zenith>Disorientamento.</>,Wir sehen auf deinem Gesicht Verwirrung. \n <Zenith>Verständnislos.</>,"Lo vemos en tu cara, confusión. \n <Zenith>Desorientada.</>",Lo vemos en tu cara. Confusión. \n <Zenith>Desorientada.</>,표정을 보니 혼란스럽나 보다. \n <Zenith>혼란스럽구나.</>,,顔に書いてありマスネ。混乱してイルト。 \n <Zenith>ワカラナイ。</>,"Vemos em seu rosto, confusão. \n <Zenith>Desorientada.</>",我等在你的脸上看出了困惑。 \n <Zenith>迷失。</>,你的表情透露出困惑。\n<Zenith>茫然。</>,,,,,
Zenith_RAW-0026-Alta,Zenith_RAW-0026-Alta,"Просто, эээ... Я никогда раньше не видела ничего подобного тебе.",,C'est que… euh… je n'avais encore jamais vu quelque chose comme toi.,È solo che... non ho mai visto niente del genere prima d'ora.,"Es ist nur, äh … Ich habe noch nie etwas wie euch gesehen.",Solo es que... Nunca había visto a alguien como tú.,Pasa que nunca había visto a alguien... o algo... como tú.,"그게, 저... 난 그쪽 같은 존재를 본 적이 없어서요.",,いや、ただ…あんたみたいなのは初めて見るから。,"É que, ahm... eu nunca vi nada como você antes.",那个，呃……我从未见识过你这样的存在。,就，呃……我從來沒見過跟你們一樣的東西。,,,,,
Zenith_RAW-0027-Zenith,Zenith_RAW-0027-Zenith,"И мы, в свою очередь, никогда не видели ничего подобного тебе. Это радость. Открывать! \n <Zenith>Радостно!</>",,"Et nous, à notre tour, n'avions jamais vu quelque chose comme toi. C'est un plaisir. À découvrir ! \n <Zenith>Heureux !</>","E noi, a nostra volta, non abbiamo mai visto niente come te. È una felicità. Da scoprire! \n <Zenith>Felicità!</>",Und wir unsererseits haben noch nie etwas wie dich gesehen. Es ist eine Freude. Zu entdecken! \n <Zenith>Freudig!</>,"Y nosotras, de igual modo, nunca hemos visto nada como tú. Es una alegría. ¡Descubrir! \n <Zenith>¡Alegre!</>","Y nosotras, de igual modo, nunca habíamos visto nada como tú. ¡Es una alegría! ¡Descubrir! \n <Zenith>¡Alegre!</>",우리도 너와 같은 존재를 본 적이 없단다. 발견하게 되어. 정말 기쁘다! \n <Zenith>기뻐!</>,,ワタシタチも同じ。あなたのような方は初めて見マス。それは喜び。発見デス！ \n <Zenith>ヨロコビ！</>,"E nós, por nossa vez, nunca vimos nada como você. É um prazer. Descobrir! \n <Zenith>Que alegria!</>",而我等也从未见过你这般人物。遇见你。真是开心！ \n <Zenith>开心！</>,而我們也從未見過像你這樣的東西。這就是。探索的樂趣！\n<Zenith>真快樂！</>,,,,,
Zenith_RAW-0028-Zenith,Zenith_RAW-0028-Zenith,Мы открываем так много. О вашем плане существования. \n <Zenith>Открываем.</>,,Nous découvrons tellement. Sur ton plan d'existence. \n <Zenith>Découvrons.</>,Stiamo scoprendo moltissimo. Sul tuo piano di esistenza. \n <Zenith>Scoperta.</>,Wir erfahren so viel. Über deine Daseinsebene. \n <Zenith>Entdecken.</>,Estamos descubriendo muchas cosas. Sobre tu plano de existencia. \n <Zenith>Descubriendo.</>,Estamos descubriendo muchas cosas. Sobre tu plano de existencia. \n <Zenith>Descubriendo.</>,우린 너희 차원의 존재에 관해. 많은 것을 발견해 가고 있단다. \n <Zenith>발견하고 있어.</>,,たくさん発見しマシタ。アナタタチの存在の次元について。 \n <Zenith>ハッケン。</>,Estamos descobrindo tanto. Sobre o seu plano de existência. \n <Zenith>Descobrindo.</>,你所在的位面。真是千奇百怪。 \n <Zenith>千奇百怪。</>,關於你存在的時空。我們所知甚多。\n<Zenith>探索。</>,,,,,
Zenith_RAW-0029-Zenith,Zenith_RAW-0029-Zenith,Посмотри! Ты видела их? Они наше самое любимое открытие на данный момент! \n <Zenith>Любимое!</>,,Regarde ! Tu les as vus ? C'est notre découverte préférée jusqu'à présent ! \n <Zenith>Préférée !</>,Guarda! Li hai visti? Sono la nostra scoperta preferita! \n <Zenith>Preferita!</>,Sieh! Hast du sie schon gesehen? Unsere liebste Entdeckung bisher! \n <Zenith>Liebste!</>,¡Mira! ¿Los has visto? ¡Son nuestro descubrimiento favorito hasta ahora! \n <Zenith>¡Favorito!</>,¡Mira! ¿Los viste? ¡Son nuestro descubrimiento favorito hasta ahora! \n <Zenith>¡Favorito!</>,저것 보렴! 저 사람들 봤니? 우리가 지금까지 발견한 존재 중 최고란다! \n <Zenith>최고!</>,,ほら！ あの人タチを見マシタカ？ 一番お気に入りの発見デス！ \n <Zenith>ダイスキ！</>,Olhe! Você os viu? Eles são a nossa descoberta favorita até agora! \n <Zenith>Favorita!</>,快看！看到他们了吗？我等发现这些人最为有趣！ \n <Zenith>最为有趣！</>,看！你看過他們嗎？這是我們目前最喜愛的發現！\n<Zenith>最喜愛的！</>,,,,,
Zenith_RAW-0030-Zenith,Zenith_RAW-0030-Zenith,"Эти ""Мужчины"". Они носят ""Костюмы"". Они ведут ""Бизнес"". \n <Zenith>Костюмы.</>","""business"" meaning like working in an office","Ces ""hommes"". Ils portent des ""costumes"". Ils gèrent des ""affaires"". \n <Zenith>Costumes.</>","Quegli ""uomini"". Indossano ""abiti"". Stanno facendo gli ""affari"". \n <Zenith>Abiti.</>",Diese „Männer“. Sie tragen „Anzüge“. Sie machen „Geschäfte“. \n <Zenith>Anzüge.</>,"Estos ""hombres"". Llevan ""trajes"". Están haciendo ""negocios"". \n <Zenith>Trajes.</>",Estos «hombres». Llevan «trajes». Están haciendo «negocios». \n <Zenith>Trajes.</>,저 '남자들'은. '정장'을 입고. '비즈니스'를 하지. \n <Zenith>정장.</>,,あの“方々”。“スーツ”を着てイマス。そして“カイシャ”で働いてイマス \n <Zenith>スーツ</>,"Esses ""Homens"". Eles usam ""Ternos"". Eles realizam ""Negócios"". \n <Zenith>Ternos.</>",这些“人”。他们穿着统一的“制服”。忙着做各种“生意”。 \n <Zenith>制服。</>,這些「人」。穿著「西裝」。正在「工作」。\n<Zenith>西裝。</>,,,,,
