key,source,Translation
Korean,"아, 그럼요. 물론이죠. 안녕하세요.",
Russian,"Uh, yes. Sure. Hello.",
Japanese,ええと、そうだよ。どうも。,
Portuguese_Brazil,"Ah, sim. Claro. Oi.",
Chinese_Simplified,呃，是的。当然。你好。,
Chinese_Traditional,是的沒錯。哈囉。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0002-Customer,
English_US,"Здравица и тебея, любимка. Благостя усталонькому, премногая!",
Description,"""Hello to you as well, I must say I'm quite tired from traveling.""",
French,"Bonjoour à toii aaussii, je doiis aavoouer que mon vooyaage m'a faatiiguéée.",
Italian,"Ringraziiio te, stanca daaal viaggiiio sooono.",
German,"Hallo adir auch, mei Lieb! Gewogen den Müdenden, insbesonderheit!",
Spanish_Spain,"Hola a ti también, cariiiño. ¡Qué cansaaada estoy de mis viaaajes!",
Spanish_LATAM,"Hogasola a ti tambiegasén, carigasiño. ¡Qué cansagasada que estogasoy de mis viagasajes!",
Korean,"그래, 나도 안녕? 여행하다 보니 엄청 피곤한데, 정말 친절하구나!",
Russian,"Hello t'ya as well, m'love. Kindnesses for the wearygone, muchly!",
Japanese,こちララこそ。とても疲レレてグッタリリしてたの！,
Portuguese_Brazil,"Oi pra ti também, meu bem. Saudações aos cansados, muitamente!",
Chinese_Simplified,你好你好，亲爱的。人家一路走来真的累死了哟！,
Chinese_Traditional,吾愛，哈嚕亦然。吾因旅途而備感疲憊！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0003-Alta,
English_US,"Это {{Wanderstop}}, это чайная.",
Description,,
French,"Tu es à {{Wanderstop}}, c'est un salon de thé.",
Italian,"Sei a {{Wanderstop}}, la bottega del tè.",
German,Willkommen bei {{Wanderstop}}. Es ist ein Teeladen.,
Spanish_Spain,"Esto es {{Wanderstop}}, una tienda de té.",
Spanish_LATAM,"Esto es {{Wanderstop}}, una tienda de té.",
Korean,여긴 {{Wanderstop}}이에요. 찻집이죠.,
Russian,"This is {{Wanderstop}}, it's a tea shop.",
Japanese,ここは{{ワンダーストップ}}。ティーハウスだ。,
Portuguese_Brazil,"Esta é a {{Wanderstop}}, é uma casa de chá.",
Chinese_Simplified,这里是{{Wanderstop}}，是一家茶馆。,
Chinese_Traditional,這裡是{{Wanderstop}}，一間茶屋。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0004-Customer,
English_US,"Тако правдица? Ну любомилая то! Воиста, сильна отдохновенья требуется.",
Description,"""Really? Well I'm glad to hear, I'm certainly needing a rest""",
French,"C'eest vraaii ? Çaa toombe suuper biien, j'aaii besooiin d'une paause.",
Italian,Verameeente? Propriiio feliiice di riposaaare ho bisooogno.,
German,"S wahr? Schön belieblich 's hier! Wohlrichtig, sehr dringende Rast 's nötig.",
Spanish_Spain,¿En seeerio? ¡Qué bien! La verdaaad es que necesito un descansiiito.,
Spanish_LATAM,¿En segaserio? ¡Maravillogasoso! La verdagasad es que necesigasito un buen descagasanso.,
Korean,그래? 그거 잘됐네! 정말 정말 쉬고 싶었거든.,
Russian,"So's true? Well be'lovely t'is! Indeedwell, much is a rest be needed.",
Japanese,本当？ うレレしい！ ちょうど休みたかったかララ。,
Portuguese_Brazil,"Então é vero? Que bom saber! Claramente, preciso descansar.",
Chinese_Simplified,真的吗？那可太好了！人家真的需要休息一下。,
Chinese_Traditional,實也？若實則美也！吾甚需休憩。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0005-Customer,
English_US,"Сказателькай, каковецкий чай у вас подаваеца?",
Description,"""What kind of tea do you serve?""",
French,"Diis-moii, tu sers queels geenres de théés ?",
Italian,Che tè veeende?,
German,"Sag, mei Lieb, welch Sortentee tragst's auf?",
Spanish_Spain,"Diiime, ¿qué tipo de té siiirves?",
Spanish_LATAM,"Digasime, ¿qué tigasipo de té sigasirven en esta tiegasenda?",
Korean,그럼 어떤 차를 마실 수 있는 거야?,
Russian,"Tells'me, what kindmanner of tea is it y'serves like?",
Japanese,そレレじゃ、どんなお茶があルル？,
Portuguese_Brazil,"Me diz, que tipo de chá que você serve?",
Chinese_Simplified,那小姐姐你们这都有啥呀？,
Chinese_Traditional,汝備何等茶？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0006-Alta,
English_US,"Э, у нас много разных видов. Скажи, что ты хочешь, и я постараюсь найти.",
Description,,
French,Euh… on en a plein. Dis-moi ce que tu veux et j'essaierai de t'en trouver.,
Italian,"Uh, ce ne sono molti tipi. Dimmi cosa vuoi e farò del mio meglio per accontentarti",
German,"Äh, wir haben jede Menge Sorten. Sag mir, was du möchtest, und ich versuche es zu finden.",
Spanish_Spain,"Ah, hay de muchos tipos. Dime lo que quieres y trataré de encontrarlo.",
Spanish_LATAM,"Ah, servimos muchos tipos de té. Dime lo que quieres y trataré de preparártelo.",
Korean,"아, 종류는 많아요. 원하는 걸 말해주면 한번 만들어 볼게요.",
Russian,"Uh, there are lots of types. Tell me what you want and I'll try to find it.",
Japanese,その…いろんな種類があるよ。好きなのを教えてくれたら探してみる。,
Portuguese_Brazil,"Ahm, temos vários tipos. Me diz o que você quer e vou tentar encontrar.",
Chinese_Simplified,呃，我们这品类挺多的。想喝什么尽管说，我看看能否满足。,
Chinese_Traditional,呃，我們有各種茶。跟我說你想喝什麼，我會試著找找看。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0007-Customer,
English_US,"""Что ты хочешь!"" Такая любосладость изреченьица, ась-да!",
Description,"""'What I want' is such a lovely thing to hear!""",
French,"""Ce que tu veux"" est uune choose biien aagréaable à eenteendre !",
Italian,"""Cooosa vuoooi"" da sentiiire mi piaaace!",
German,"„Was ich möchte“! 'S liebersüß, kja!",
Spanish_Spain,"¡""Qué quiero""! Ay qué boniiito es eeeso.",
Spanish_LATAM,"¡«Qué quiegasero»! ¡Ay, qué bonigasito suegasena eso!",
Korean,'원하는 거'라니! 정말 듣기 좋은 말이야!,
Russian,"""What I want!"" T'is the lovelysweet of sentiments, ch'yes!",
Japanese,“好きなの”！ なんてラブリリリーな響き！,
Portuguese_Brazil,"""O que eu quero!"" Que lindíssimo sentimento, sim!",
Chinese_Simplified,“尽管说！”说得真好！,
Chinese_Traditional,「想喝什麼」！此意甚美！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0008-Customer,
English_US,"Прошеньице, коли имеется у тебея, любимка, {{Aeon}} Варево.",
Description,"""Please, I'll take Aeon Brew if you have it""",
French,"Aaloors je prendraaii une iinfusiion d'{{Aeon}}, sii tu en aas.",
Italian,L'infuuuso di {{Aeon}} se ce l'haaai.,
German,"Gernest ein‘ [[Aeon}}-Sud, wenn'st hast, mei Lieb.",
Spanish_Spain,"Por favooor, tomaré una infusión de {{Aeon}} si tieeenes.",
Spanish_LATAM,"Si tiegasenes, tomaregasé una infusiogasón de {{Aeon}}, por favogasor.",
Korean,"좋아, {{Aeon}} 브루 있으면 한잔 부탁해.",
Russian,"Please'nt, if it carry ya m'love, {{Aeon}} Brew.",
Japanese,じゃあ、{{イーオン}}ティーをお願いできルル？,
Portuguese_Brazil,"Porfa, se você tiver, adorara infusão de {{Aeon}}.",
Chinese_Simplified,那小姐姐你们这有没有{{Aeon}}调味茶，人家想喝。,
Chinese_Traditional,若汝備{{Aeon}}茶，則更美。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0009-Alta,
English_US,"""{{Aeon}} Варево""??",
Description,,
French,Une infusion d'{{Aeon}} ?,
Italian,Un infuso di {{Aeon}}?,
German,„{{Aeon}}-Sud“?,
Spanish_Spain,"¿""Infusión de {{Aeon}}""?",
Spanish_LATAM,¿«Infusiogasón de {{Aeon}}»?,
Korean,'{{Aeon}} 브루'라고요??,
Russian,"""{{Aeon}} Brew""??",
Japanese,“{{イーオン}}ティー”だって？,
Portuguese_Brazil,"""Infusão de {{Aeon}}""??",
Chinese_Simplified,“{{Aeon}}调味茶”？？,
Chinese_Traditional,「{{Aeon}}茶」？？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0010-Customer,
English_US,"Ах, такося! Сама Богиня его любит болея всего, ась-да. Тонко сотворенное.",
Description,"""That's right, it's The Goddess's favorite drink""",
French,Aabsoolument ! C'est la boiisson prééfééréée des dééesses !,
Italian,Puuure la diviniiità se la beveeere.,
German,"Ganz so's! Die Göttin selbsthöchst liebt 's ganz so, kja. 'S feinste Art.",
Spanish_Spain,"¡Oh, sí! La bebiiida favorita de la diooosa.",
Spanish_LATAM,"¡Ay, sí! La bebigasida favorigasita de la Diogasosa. ¡Qué deligasicia!",
Korean,그래 맞아! 여신님도 가장 좋아하신다는 음료잖아. 아주 섬세한 음료지.,
Russian,"Ah, so's! The Goddess herself do love's it the most, ch'yes. Finely made.",
Japanese,ええ、そう！ 女神さまが大好きなドリリンク。洗練さレレた味。,
Portuguese_Brazil,"Ah, é! A própria Deusa ama incrivelmente, sim. Bem feitinho.",
Chinese_Simplified,是的呢！是女神大人最爱的茶。绝世美味哟。,
Chinese_Traditional,是也！女神愛之最甚。精心製作。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0011-Customer,
English_US,Будет ли у тебея? Чашенька для меня?,
Description,"""Is that alright? Do you have that in stock?""",
French,Tu vooiis ce que c'eest ? Tu aas çaa en stoock ?,
Italian,Lo teneeessi?,
German,In deiner Macht? 'S Tässelchen zu mir?,
Spanish_Spain,¿Es posiiible? ¿Tienes en la tieeenda?,
Spanish_LATAM,¿Podrigasías preparagasármela? ¿Una tacigasita para mí?,
Korean,만들어줄 수 있어? 나를 위해서?,
Russian,Would be so of ch'ya? A cup for m'self?,
Japanese,私に1杯、お願いできルル？,
Portuguese_Brazil,Você proporciona? Uma xícara pra mim?,
Chinese_Simplified,怎么样怎么样？有没有呢？,
Chinese_Traditional,可否？汝備否？與吾一杯？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0012-Alta,
English_US,Как готовят {{Aeon}} Варево?,
Description,,
French,Comment on prépare une infusion d'{{Aeon}} ?,
Italian,Come si prepara l'infuso di {{Aeon}}?,
German,Wie macht man {{Aeon}}-Sud?,
Spanish_Spain,¿Cómo se hace la infusión de {{Aeon}}?,
Spanish_LATAM,¿Cómo se hace la «infusiogasón de {{Aeon}}»?,
Korean,{{Aeon}} 브루는 어떻게 만드는 거죠?,
Russian,How do you make {{Aeon}} Brew?,
Japanese,{{イーオン}}ティーはどうやって作るの？,
Portuguese_Brazil,Como se faz infusão de {{Aeon}}?,
Chinese_Simplified,{{Aeon}}调味茶是用什么做的？,
Chinese_Traditional,{{Aeon}}茶要怎麼製作呢？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0013-Customer,
English_US,"Снынья, не? Снынья на отваренках и подобнинках. Нетужели творительствовала когдася?",
Description,"""Dreams, of course. Dreams and drinks. Have you made anything like it before?""",
French,"Aavec des rêêves, biien sûûr ! Aavec des rêêves et de laa booiissoon ! Tu n'en aas jaamaaiis faaiit ?",
Italian,Ci vogliooono i sooogni. Sooogni e bevaaande. L'haaai maaai fattuuuto?,
German,"Träume, nei'? Träume über Tränk', et ceterella. Hast's nie noch macht, mei Lieb?",
Spanish_Spain,Con sueeeños. Con sueeeños y bebidas. ¿Has hecho algo así aaantes?,
Spanish_LATAM,Con suegaseños. Con suegaseños y bebigasidas. ¿Ya habigasías preparagasado agasalgo así?,
Korean,꿈을 넣어야겠지? 꿈으로 가득한 음료니까. 그런 거 만들어 본 적 없어?,
Russian,"Dreams, no? Dreams 'pon brews 'n suchlike. Hasn'tchya make-well t'do?",
Japanese,ドリリーム？ 夢のドリリンク。そういうお茶を作ったことはない？,
Portuguese_Brazil,"Sonhos, não? Sonhos y bebidas e tals. Você nunca fez antes?",
Chinese_Simplified,用梦想哟。那种用梦像制作的饮品。小姐姐你之前没做过吗？,
Chinese_Traditional,誠然夢也。夢與茶。汝未曾製作類似飲品，是否？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0014-Alta,
English_US,Эээ...,
Description,,
French,Euh...,
Italian,Uhhh...,
German,Äääh …,
Spanish_Spain,Eh…,
Spanish_LATAM,Eeehh…,
Korean,음...,
Russian,Uhhh...,
Japanese,ええと…,
Portuguese_Brazil,Ahmm...,
Chinese_Simplified,呃…,
Chinese_Traditional,呃……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0015-Alta,
English_US,"Подожди, я пойду поговорю с Боро. Может быть, он знает, о чём ты говоришь.",
Description,,
French,"Attends, je vais aller voir Boro. Il saura peut-être m'expliquer de quoi tu parles.",
Italian,"Aspetta, vado a chiedere a Boro. Forse mi può aiutare a capire di cosa stai parlando.",
German,"Warte kurz, ich muss mal mit {{Boro}} reden. Vielleicht weiß er, wovon du redest.",
Spanish_Spain,"Espera, voy a ir a hablar con Boro. Tal vez tenga alguna idea de lo que estás hablando.",
Spanish_LATAM,Espera que voy a hablar con Boro. Tal vez tenga idea de lo que estás diciendo.,
Korean,기다려보세요. {{Boro}}와 상의해 볼게요. 말씀하신 음료가 뭔지 알고 있을지도 몰라요.,
Russian,"Hang on, I'm going to go talk to Boro. He might have some idea of what you're talking about.",
Japanese,ちょっと待って。ボロに聞いてみるよ。あんたの言ってるお茶に心当たりがあるかもしれない。,
Portuguese_Brazil,"Espera aí, vou falar com o {{Boro}}. Ele deve ter alguma ideia do que você está falando.",
Chinese_Simplified,稍等，我得去问问Boro。他可能知道你要的是什么。,
Chinese_Traditional,等等，我要跟 Boro 談談。他或許會知道你在說什麼。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0016-Alta,
English_US,"Вот, держи.",
Description,,
French,Et voilà !,
Italian,Ecco qui.,
German,Bitte sehr.,
Spanish_Spain,Aquí tienes.,
Spanish_LATAM,Aquí tienes.,
Korean,나왔습니다.,
Russian,Here you go.,
Japanese,どうぞ。,
Portuguese_Brazil,Aqui está.,
Chinese_Simplified,请用。,
Chinese_Traditional,給你。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0017-Customer,
English_US,"Ась-да, должнася сказать, оченно горячее, не? Многоя горячее.",
Description,"""I must say, this is quite hot. Much too hot.""",
French,Je doiis diire que c'eest biien chaaud. Biien troop chaaud !,
Italian,Ti diiico che fooosse caaaldo. Scottaaante.,
German,"Kja'lso, muss mei sagen, 's is' fei heiß, nein? Fei zu heiß.",
Spanish_Spain,"Ay, qué calieeente está. Muy calieeente.",
Spanish_LATAM,"Ay, estagasá caliegasente. Muy caliegasente.",
Korean,"아, 미안한데 이건 너무 뜨겁잖아? 심하게 뜨거워.",
Russian,"Ch'a, must be says, t'is quite hot, no? Much too hot.",
Japanese,大変、とてもアツアツなのね？ 熱すぎルル。,
Portuguese_Brazil,"Opa, digamos, tá quentucho, não? Quentucho demais.",
Chinese_Simplified,哎呀，好烫好烫！烫死人啦。,
Chinese_Traditional,熱也，吾必言，過熱，是否？過熱。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0018-Customer,
English_US,"{{Aeon}} Варево желаеца быть холодным напиточком, всегдать.",
Description,"""Aeon Brew is meant to be a cold drink""",
French,Une infuusiion d'{{Aeon}} c'est plutôôt froiid.,
Italian,L'infuuuso di {{Aeon}} si deeeve beveeere freeeddo!,
German,"{{Aeon}}-Sud 's eiseskalt, immersag.",
Spanish_Spain,La infusión de {{Aeon}} tieeene que estar fresquiiita.,
Spanish_LATAM,La infusiogasón de {{Aeon}} tiegasene que bebegaserse fresquigasita.,
Korean,{{Aeon}} 브루는 원래 차게 마시는 거야.,
Russian,"{{Aeon}} Brew wants being quite a cold drink, eversays.",
Japanese,{{イーオン}}ティーは、冷たいドリリンクと聞いたけど。,
Portuguese_Brazil,A infusão de {{Aeon}} tem que ser uma bebida gelada.,
Chinese_Simplified,{{Aeon}}调味茶必须喝冷的哟。,
Chinese_Traditional,{{Aeon}}茶應為涼飲。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0019-Alta,
English_US,"Хорошо, я сделаю его холодным.",
Description,,
French,"OK, je vais la refaire en froid.",
Italian,"Va bene, lo rifarò freddo.",
German,"Okay, ich mach ihn neu, aber kalt.",
Spanish_Spain,"Vale, lo volveré a hacer frío.",
Spanish_LATAM,"Bien, ahora te preparo otra, pero fría.",
Korean,"네, 차게 만들어올게요.",
Russian,"Okay, I'll remake it cold.",
Japanese,わかった。冷たくして淹れ直すよ。,
Portuguese_Brazil,"Tá bem, vou refazer gelada.",
Chinese_Simplified,好的，我再做杯冷的。,
Chinese_Traditional,好，我會重泡一杯冷的。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0020-Customer,
English_US,"Ась-да, должнася сказать, маловатенько чайных листочков, не, не.",
Description,"""I must say, I can't taste any tea leaves in this.""",
French,Je doiis diire que je ne seens aaucuune feeuiille de théé làà-dedaans.,
Italian,Deeevo diceeere che nooon sentiiissi il sapooore deeel tè.,
German,"K'also, muss mei sagen, 's is' kaumwenig Teeblatt, nein, nein.",
Spanish_Spain,"Ay, esto no sabe a hooojas de té. Nooo, nooo.",
Spanish_LATAM,"Ay, esto no tiegasene gugasusto a hogasojas de té. No, la verdagasad que no.",
Korean,"아, 미안한데 여긴 찻잎이 빠졌어. 이건 아니야.",
Russian,"Ch'a, must be says, t'isn't muchly with the tea leaf, no, no.",
Japanese,大変、ティーリリリーフの味がまったくしない。,
Portuguese_Brazil,"Digamos, não sinto muitamente folhas de chá, na, nã, ni.",
Chinese_Simplified,哎呀，尝不出茶叶味。,
Chinese_Traditional,無茶味，吾必言，茶味甚為貧乏。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0021-Alta,
English_US,"О, точно, я забыла добавить чайные листья. Пойду переделаю чай.",
Description,,
French,"Oh, c'est vrai. J'ai oublié d'ajouter des feuilles de thé. Je vais en refaire.",
Italian,"Oh, giusto, ho dimenticato di aggiungere le foglie di tè. Vado a rifare il tè.",
German,"Oh, stimmt, ich hab die Teeblätter vergessen. Ich mach den Tee nochmal neu.",
Spanish_Spain,"Ah, claro, me he olvidado de añadir hojas de té. Volveré a hacer el té.",
Spanish_LATAM,"Ah, cierto... Olvidé añadir las hojas de té. Ahora te preparo otra.",
Korean,"이런, 찻잎을 깜짝했어요. 차를 다시 만들어올게요.",
Russian,"Oh, right, I forgot to add tea leaves. I'll go remake the tea.",
Japanese,ああ、そうか。茶葉を入れるのを忘れてたよ。淹れ直してくる。,
Portuguese_Brazil,"Ah, certo, esqueci de colocar folhas de chá. Vou refazer o chá.",
Chinese_Simplified,哦，糟糕，我忘记加茶叶了！我给你重做一杯。,
Chinese_Traditional,噢，對吼，我忘記加茶葉了。我會重做一杯。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0022-Customer,
English_US,Ась-да! Нигдася не было такого любочудного варева!,
Description,"""Wonderful! As fine a drink as any I've ever had!""",
French,Super ! J'en n'aavaaiis jaamaiis buu de meeiilleeure !,
Italian,"Buonissiiimo, nooon aveeessi maaai beveruuuto così buooono.",
German,Kja! Nie noch hab Tee g'liebt dieselben hier!,
Spanish_Spain,¡Ah! Es de lo mejorciiito que he tomaaado en la viiida.,
Spanish_LATAM,¡Ay! ¡Fantagasástico! ¡Tiegasene que ser la mejogasor infusiogasón que hagasaya tomagasado en mi vigasida!,
Korean,하! 이런 건 태어나서 처음 마셔봐!,
Russian,Ch'a! Ne'ers been so love'd a brew as such!,
Japanese,お姉さん！ こんなに美味しいお茶はルルリラロ！,
Portuguese_Brazil,Opa! Nunca saboreei uma bebida tão delícia!,
Chinese_Simplified,哎呀！这茶也太好喝了吧！,
Chinese_Traditional,美哉！吾從未愛茶若甚！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0023-Customer,
English_US,"{{Aeon}} Варево оно есть, да, да.",
Description,"""Yes, it's the perfect Aeon Brew.""",
French,On peeut diire que c'eest de laa bonne infuusiion d'{{Aeon}}.,
Italian,Un infuuuso di {{Aeon}} cooome si deveeere!,
German,"{{Aeon}}-Sud 's ist, fein, fein.",
Spanish_Spain,"Sí, esta infusión de {{Aeon}} está perfeeecta.",
Spanish_LATAM,"Sí, esta infusiogasón de {{Aeon}} es perfegasecta.",
Korean,이런 맛의 {{Aeon}} 브루라니 이거야 원.,
Russian,"{{Aeon}} Brew it does, some, some.",
Japanese,ああ、{{イーオン}}ティーだわ。ロルリリレ！,
Portuguese_Brazil,"Infusão de {{Aeon}} temos, sim, sim.",
Chinese_Simplified,是{{Aeon}}调味茶本茶。,
Chinese_Traditional,此乃絕美{{Aeon}}茶。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0024-Choice,
English_US,"Эээ, пожалуйста?",
Description,,
French,Euh… de rien ?,
Italian,"Uhh, non c'è di che?",
German,"Äh, gern geschehen?",
Spanish_Spain,"Eh, ¿de nada?",
Spanish_LATAM,"Eh... De nada, supongo.",
Korean,"음, 별말씀을요...?",
Russian,"Uhh, you're welcome?",
Japanese,ええと、どういたしまして？,
Portuguese_Brazil,"Ahm, de nada?",
Chinese_Simplified,呃，不客气？,
Chinese_Traditional,呃，不客氣？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0025-Choice,
English_US,"Эээ, извини?",
Description,,
French,Euh… désolée ?,
Italian,"Uh, mi dispiace?",
German,"Äh, wie bitte?",
Spanish_Spain,"Eh, ¿perdona?",
Spanish_LATAM,"Eh... Perdón, creo.",
Korean,"음, 미안합니다...?",
Russian,"Uhh, I'm sorry?",
Japanese,ええと、ごめんなさい？,
Portuguese_Brazil,"Ahm, desculpe?",
Chinese_Simplified,呃，对不起？,
Chinese_Traditional,呃，抱歉？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0026-Customer,
English_US,"Благодарствую воиста, и лёгким благословеньицем получены тяжкие мыслицы.",
Description,"""You've done a fine job, you should be proud of this""<lf>From [0024-Choice]",
French,Aabsoluument de rieen ! Bon traavaiil ! Tu peeux êêtre fiièère !,
Italian,Faceeere un buooon lavoooro! Ti poteeessi faceeere fieeera.,
German,"Ganz gern, ganz gern, 's is' Feinsegen auf schweres Herz.",
Spanish_Spain,"Claro, cariiiño, lo has hecho muuuy bien, deberías estar orgullooosa.",
Spanish_LATAM,"¡Puegasedes suponegaserlo, carigasiño! Te saliogasó muy, muy bien. ¡Deberigasías estagasar orgullogasosa!",
Korean,정말 잘했어. 자부심을 느껴도 좋아.,
Russian,"Welcome indeed, an' easy blessing begotten heavy minds.",
Japanese,すばらしいお茶よ。ワンダフルル。心も軽やかになルルリラ。,
Portuguese_Brazil,"De nada mesmo, é uma bênção pra mentes pesadas.",
Chinese_Simplified,好茶呀，小姐姐你可真厉害。,
Chinese_Traditional,甚美，確也，汝應引為豪。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0027-Customer,
English_US,"Не извинятелькайся, любимка! Всеё получено с премногой благостей, воиста!",
Description,"""No need to be sorry! Everything's lovely.""<lf>From [0025-Choice]",
French,"Paas déésoléee, maa chéériie ! C'eest paarfaaiit !",
Italian,Non ti faceeessi dispiaciuuta! Sta tuuutto beeene!.,
German,"Kein Bitten, mei Lieb! All's geworden sehr gewogen, in den Taten!",
Spanish_Spain,"¡No paaasa nada, cariiiño! Todo es maravilloooso.",
Spanish_LATAM,"¡Nagasada de perdogasón, carigasiño! ¡Te saliogasó muy, muy bien!",
Korean,"미안해할 것 없어, 친구! 그야말로 완벽한걸!",
Russian,"No sorrys, m'love! All's begotten most kindness, indeed!",
Japanese,謝ララないで、お姉さん！ 何もかもラブリリーよ！,
Portuguese_Brazil,"Nada de desculpas, meu bem! Está tudo muitamente bom, aham!",
Chinese_Simplified,良心好茶呀，亲爱的！小姐姐你做得很好！,
Chinese_Traditional,吾愛，道歉不必！一切甚美，確也！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0028-Customer,
English_US,"Это варево преболея любимое, зовущее на Её снынья. Светя получено светом, отдых?",
Description,"""It reminds me of the Goddess, and of my time spent in the Goddess's dreams.""",
French,Çaa me raappeelle les dééesses et le teemps que j'aaii paasséé daans les rêêves de dééesses.,
Italian,Mi ricordaaassi deeella diviniiità e del tempo ci passaassi neeei suoooi sooogni.,
German,"S Sud von Feinkunst, 's ist memoriam an Ihre Träumelei'n. Lichte küsst Lichte, mehr 's nicht?",
Spanish_Spain,Me recuerda a la diooosa y al tiempo que pasé en sus sueeeños.,
Spanish_LATAM,Me recuegaserda a la Diogasosa y a los digasías que pasegasé en sus suegaseños.,
Korean,여신님의 꿈속에서 보냈던 시간이 생각나는 음료야. 빛에 둘러싸인 우리 여신님 말이야.,
