key,source,Translation
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0006 - Customer,
English_US,"Это то, что я хотел! Спасибо!",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,This is what I wanted! Thanks!,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0007 - Customer,
English_US,"Хм, это не совсем то, что я хотел...",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,"Hmm, this isn't really what I wanted...",
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0008 - Customer,
English_US,...но на самом деле довольно неплохо. Я доволен. Спасибо.,
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,...but it's actually kinda nice. I'm happy with it. Thanks.,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0009 - Customer,
English_US,"Это не то, что я хотел...",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,This isn't what I wanted...,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0010 - Customer,
English_US,"Вы не помните, о чём я просил? (см. выше)",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,Don't you remember what I asked for? (see above),
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0011 - Alta,
English_US,"Хорошо, я попробую еще раз.",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,"Alright, I'll try again.",
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0012 - Alta,
English_US,"Напомните, какой чай вы хотите.",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,Remind me what kind of tea you want.,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0013 - Customer,
English_US,Конечно. (см. выше),
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,Sure. (see above),
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0014 - Alta,
English_US,"Хорошо, я постараюсь.",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,"Okay, I'll do my best.",
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0015 - Customer,
English_US,"Кажется, это просто пустая чашка?",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,This seems to just be an empty cup?,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0016 - Alta,
English_US,"Верно, я принесу вам чай через секунду. Напомните, какой чай вы хотите.",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,"Right, I'll bring you tea in a second. Remind me what kind of tea you want.",
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0017 - Customer,
English_US,Конечно. (см. выше),
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,Sure. (see above),
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0018 - Alta,
English_US,"Хорошо, я постараюсь.",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,"Okay, I'll do my best.",
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0019 - Customer,
English_US,"Кажется, эта чашка грязная.",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,This cup seems to be dirty.,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0020 - Alta,
English_US,"Ой, пойду помою её.",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,"Oops, I'll go wash it out.",
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
