key,source,Translation
Korean,"인간 {{Alta}}, 숲으로 돌아갈. 준비가 됐니? \n <Zenith>돌아가 보자.</>",
Russian,,
Japanese,人間{{アルタ}}、心の準備は？ 森に行けマスカ？ \n <Zenith>モウイチド。</>,
Portuguese_Brazil,"Humana {{Alta}}, você está pronta. Para voltar para a floresta? \n <Zenith>Voltar.</>",
Chinese_Simplified,人类{{Alta}}，你准备好。前往森林了吗？ \n <Zenith>回森林。</>,
Chinese_Traditional,人類{{Alta}}，你準備好要。返回森林了嗎？\n <Zenith>返回。</>,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0003-Alta,
English_US,"Yeah, I'll head there in just a second.",
Description,,
French,"Ouais, j'y vais dans une seconde.",
Italian,"Sì, ci vado fra un momento.",
German,"Ja, ich mache mich gleich dahin auf den Weg.",
Spanish_Spain,"Sí, iré allí enseguida.",
Spanish_LATAM,"Sí, enseguida voy allá.",
Korean,"네, 금방 가려고요.",
Russian,,
Japanese,ああ。すぐに森へ向かうよ。,
Portuguese_Brazil,"Sim, eu vou pra lá daqui a pouco.",
Chinese_Simplified,是的，我马上就到森林里去。,
Chinese_Traditional,準備好了，我等一下就到那裡去。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0004-Zenith,
English_US,Hullo.,
Description,"Zenith's speech is now more muted, less exciteable",
French,Salut.,
Italian,Ehilà.,
German,Hallo.,
Spanish_Spain,Hola.,
Spanish_LATAM,Hola.,
Korean,안녕하세요.,
Russian,,
Japanese,ドーモ。,
Portuguese_Brazil,Oi.,
Chinese_Simplified,哈啰。,
Chinese_Traditional,哈囉。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0005-Alta,
English_US,"{{Zenith}}, I- we need to go back into the forest! You were going to do something out there to help me.",
Description,,
French,"{{Zenith}}, Je- nous devons retourner dans la forêt ! Tu allais y faire quelque chose pour m'aider.",
Italian,"{{Zenith}}, io... noi dobbiamo tornare nella foresta! Hai detto che avresti fatto qualcosa per aiutarmi.",
German,"{{Zenith}}, ich– wir müssen zurück in den Wald! Ihr wolltet da draußen etwas tun, um mir zu helfen.",
Spanish_Spain,"{{Zenith}}, yo... ¡tenemos que volver al bosque! Ibas a hacer algo para ayudarme.",
Spanish_LATAM,{{Zenith}}... ¡Tenemos que volver al bosque! Ibas a hacer algo para ayudarme.,
Korean,"{{Zenith}}, 숲으로 돌아가기로 했잖아요! 방법은 몰라도 거기서 날 도와준다면서요?",
Russian,,
Japanese,{{ゼニス}}、私は…あんたも森に戻らないと！ 私を助けるために何かしてくれる約束だったろ。,
Portuguese_Brazil,"{{Zenith}}, eu... a gente precisa voltar pra floresta! Você ia fazer alguma coisa lá pra me ajudar.",
Chinese_Simplified,{{Zenith}}，我——我们得回森林去！你说过在森林里有办法帮我的。,
Chinese_Traditional,{{Zenith}}，我——我們必須返回森林！你們本來要做些什麼幫助我。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0006-Zenith,
English_US,Yes. That is correct. We were.,
Description,,
French,"Oui. C'est exact. Nous allions.",
Italian,Sì. È corretto. Ti volevamo aiutare.,
German,Ja. Das stimmt. Das wollten wir.,
Spanish_Spain,Sí. Correcto. Íbamos.,
Spanish_LATAM,Sí. Correcto. Íbamos.,
Korean,그래. 맞아. 그러기로 했지.,
Russian,,
Japanese,ええ、そのとおりデス。約束しマシタ。,
Portuguese_Brazil,Sim. Correto. Íamos.,
Chinese_Simplified,是的。没错。我等说过。,
Chinese_Traditional,對。正確。我們。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0007-Zenith,
English_US,We are. Somewhat distracted. At the moment.,
Description,,
French,Nous sommes. Un peu distraits. En ce moment.,
Italian,"Siamo. Un po' distratte. Al momento.",
German,Wir sind. Im. Moment etwas abgelenkt.,
Spanish_Spain,Estamos. Algo distraídas. En este momento.,
Spanish_LATAM,Estamos. Algo distraídas. En este momento.,
Korean,우리가. 정신이 팔렸어. 잠시.,
Russian,,
Japanese,少しだけ気を取られているノデス。今のトコロ。,
Portuguese_Brazil,Nos distraímos. Um pouco. No momento.,
Chinese_Simplified,但现在。我等。有些难以抽身。,
Chinese_Traditional,此刻。不知為何。心不在焉。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0008-Alta,
English_US,"But... but you said something about my ""change structure."" Isn't that what you told me was the problem??",
Description,,
French,"Mais… tu as dit quelque chose au sujet de ma ""structure de changement"". Tu ne m'as pas dit que c'était ça le problème ??",
Italian,"Ma... ma hai detto qualcosa sulla mia ""struttura di cambiamento"". Non era quello il problema?",
German,"Aber …ihr habt etwas von meinem „Wandelmuster“ gesagt. Meintet ihr nicht, das wäre das Problem?",
Spanish_Spain,"Pero... pero dijiste algo sobre mi ""estructura de cambio"". ¿No es ese el problema que me dijiste?",
Spanish_LATAM,Pero... Pero dijiste algo sobre mi «estructura de cambio». ¡¿No dijiste que ese era mi problema?!,
Korean,"아까... '변화 구조'인가 뭔가에 대해 말했잖아요. 그게 문제라고 하지 않았어요??",
Russian,,
Japanese,でも…でも言ってたろ？ 私の“変化構造”がどうとかって。それが、あんたの言ってた問題なんじゃないのか？,
Portuguese_Brazil,"Mas... mas você disse alguma coisa sobre a minha ""estrutura de mudança"". Não era isso que você me disse que era o problema?",
Chinese_Simplified,可……可你之前提到我的“变化律动”。你不是说那就是问题所在吗？？,
Chinese_Traditional,但……但你們提到我的「變更結構」。你們不是說這是我的問題嗎？？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0009-Zenith,
English_US,Yes.,
Description,,
French,Si.,
Italian,Sì.,
German,Ja.,
Spanish_Spain,Sí.,
Spanish_LATAM,Sí.,
Korean,그래.,
Russian,,
Japanese,そうデス。,
Portuguese_Brazil,Sim.,
Chinese_Simplified,是的。,
Chinese_Traditional,對。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0010-Alta,
English_US,"Then let's do something about it! What are we standing around for??",
Description,,
French,"Alors, fais quelque chose ! Qu'est-ce qu'on attend ?",
Italian,Allora facciamo qualcosa! Cosa stiamo aspettando?,
German,Dann kümmern wir uns darum! Warum steht ihr nur so rum?,
Spanish_Spain,¡Entonces hagamos algo al respecto! ¿Por qué estamos aquí paradas?,
Spanish_LATAM,¡Entonces hagamos algo al respecto! ¡¿Por qué estamos aquí paradas sin hacer nada?!,
Korean,그럼 어떻게든 해결해야죠! 멀뚱히 서서 뭐 하는 거예요??,
Russian,,
Japanese,じゃあ、さっさと何とかしよう！ 何をモタモタしてるんだ？,
Portuguese_Brazil,"Então, vamos fazer alguma coisa sobre isso! Pra que a gente tá parado aqui??",
Chinese_Simplified,那赶紧做点什么吧！我们还愣着干嘛？？,
Chinese_Traditional,那我們就做點什麼啊！我們為什麼要呆站在這裡？？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0011-Zenith,
English_US,...,
Description,,
French,…,
Italian,...,
German,…,
Spanish_Spain,...,
Spanish_LATAM,...,
Korean,...,
Russian,,
Japanese,…,
Portuguese_Brazil,...,
Chinese_Simplified,……,
Chinese_Traditional,……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0012-Zenith,
English_US,Human {{Alta}}. We are sorry.,
Description,,
French,Être humain {{Alta}}. Nous sommes désolés.,
Italian,Essere umano {{Alta}}. Ci dispiace.,
German,Menschin {{Alta}}. Es tut uns leid.,
Spanish_Spain,Humana {{Alta}}. Lo sentimos.,
Spanish_LATAM,Humana {{Alta}}. Lo sentimos.,
Korean,인간 {{Alta}}. 미안하구나.,
Russian,,
Japanese,人間{{アルタ}}、申し訳アリマセン。,
Portuguese_Brazil,Humana {{Alta}}. Sentimos muito.,
Chinese_Simplified,人类{{Alta}}。我等很抱歉。,
Chinese_Traditional,人類{{Alta}}。我們很抱歉。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0013-Zenith,
English_US,This transformation. That we are experiencing. It is important to us.,
Description,,
French,"Cette transformation. Dont nous faisons l'expérience. C'est important pour nous.",
Italian,Questa trasformazione. Che stiamo vivendo. Per noi è importante.,
German,Diese Verwandlung. Die wir erleben. Ist uns wichtig.,
Spanish_Spain,Esta transformación. Que estamos experimentando. Es importante para nosotras.,
Spanish_LATAM,Esta transformación. Que estamos experimentando. Es importante para nosotras.,
Korean,우리가 경험하고 있는. 이 변화는. 우리에게 중요하단다.,
Russian,,
Japanese,今、ワタシタチは変化を体験してイマス。それは大事なコトです。,
Portuguese_Brazil,Essa transformação. Que estamos vivenciando. É importante para nós.,
Chinese_Simplified,我等正经历的。这番变化。对我等至关重要。,
Chinese_Traditional,我們正在。經歷的轉化。對我們來說很重要。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0014-Zenith,
English_US,Our capacity. To help you. Has diminished.,
Description,,
French,"Notre capacité. À t'aider. A diminué.",
Italian,La nostra capacità. Di aiutarti. È diminuita.,
German,"Unsere Fähigkeit, dir. Zu helfen. Hat abgenommen.",
Spanish_Spain,Nuestra capacidad. Para ayudarte. Ha disminuido.,
Spanish_LATAM,Nuestra capacidad. Para ayudarte. Ha disminuido.,
Korean,널 도와줄. 우리의 능력은. 사라졌다.,
Russian,,
Japanese,だからアナタを助けるチカラ。弱まってイマス。,
Portuguese_Brazil,Nossa capacidade. De ajudar você. Diminuiu.,
Chinese_Simplified,我等。已经失去了。帮助你的能力。,
Chinese_Traditional,我們幫助你。的能力。已經消失了。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0015-Alta,
English_US,I... but... what...,
Description,,
French,"Je… mais… qu'est-ce que…",
Italian,Io... ma... cosa...,
German,Ich …aber …was …,
Spanish_Spain,Yo... pero... qué...,
Spanish_LATAM,Pero... Cómo... Qué...,
Korean,하지만... 어째서... 그런...,
Russian,,
Japanese,私は…でも…なんで…,
Portuguese_Brazil,Eu... mas... quê...,
Chinese_Simplified,我……可是……什么……,
Chinese_Traditional,我……但是……什麼……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0016-Alta,
English_US,"I don't... I don't understand!! I don't get it! Why... why...",
Description,,
French,Je ne… je ne comprends pas ! Je ne comprends rien ! Pourquoi… pourquoi…,
Italian,Non... non capisco! Non capisco! Perché... perché...,
German,Ich … Ich verstehe nicht! Ich kapier es nicht! Warum …warum …,
Spanish_Spain,No... ¡No lo entiendo! ¡No lo pillo! Por qué... por qué...,
Spanish_LATAM,"¡No...! ¡No entiendo! ¡En serio, no entiendo! ¿Por qué... Por qué...?",
Korean,난... 난 이해할 수 없어요!! 도무지 모르겠다고요! 대체... 대체 왜...,
Russian,,
Japanese,何が…どうなってるんだ！ 納得できない！ なんで…そんな…,
Portuguese_Brazil,Eu não... Eu não entendo!! Não entendo! Por quê... Por quê...,
Chinese_Simplified,我……我就不明白了！！我搞不懂！为什么……为什么……,
Chinese_Traditional,我不……我不懂！！我不懂明白！為什麼……為什麼……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0017-Choice,
English_US,...why transform into a businessman? Why THEM??,
Description,,
French,"… pourquoi se transformer en homme d'affaires ? Pourquoi EUX ??",
Italian,"… perché trasformarsi in uomini d'affari? Perché LORO?",
German,…warum verwandelt ihr euch in einen Geschäftsmann? Warum DIE?,
Spanish_Spain,¿Por qué te transformas en un empresario? ¿Por qué ellos?,
Spanish_LATAM,¡¿Por qué te transformas en un empresario?! ¡¿Por qué ellos?!,
Korean,...왜 회사원으로 변하는 거예요? 왜 하필 그들이죠??,
Russian,,
Japanese,…どうして会社員に変わるんだよ。なんであんな連中に？,
Portuguese_Brazil,Por que se transformar num homem de negócios? Por que ELES??,
Chinese_Simplified,……你为什么要变身为商人的样子？偏偏要变成他们？？,
Chinese_Traditional,……為什麼要轉化成生意人？為什麼是他們？？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0018-Choice,
English_US,"...why can't you help me anymore??",
Description,,
French,"… pourquoi tu ne peux plus m'aider ?",
Italian,… perché non puoi più aiutarmi?,
German,…Warum könnt ihr mir nicht mehr helfen?,
Spanish_Spain,¿Por qué ya no puedes ayudarme?,
Spanish_LATAM,¡¿Por qué ya no puedes ayudarme?!,
Korean,...왜 더 이상 날 돕지 못하는 거죠??,
Russian,,
Japanese,…なんでもう私を助けられないんだ？,
Portuguese_Brazil,Por que você não pode mais me ajudar??,
Chinese_Simplified,……为什么你没法帮我了？？,
Chinese_Traditional,……你們為什麼再也無法幫助我？？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0019-Zenith,
English_US,It is what we desire. It is what we seek.,
Description,From [0017-Choice],
French,"C'est ce que nous désirons. C'est ce que nous cherchons.",
Italian,È ciò che desideriamo. È ciò che cerchiamo.,
German,"Es ist, was wir uns wünschen. Es ist, wonach wir suchen..",
Spanish_Spain,Es lo que deseamos. Es lo que buscamos.,
Spanish_LATAM,Es lo que deseamos. Es lo que buscamos.,
Korean,그게 우리의 열망이고. 우리가 추구하는 것이란다.,
Russian,,
Japanese,これがワタシタチの望みデス。こうナリタイ。,
Portuguese_Brazil,É o que desejamos. É o que buscamos.,
Chinese_Simplified,这模样正是我等所欲。这模样正是我等所求。,
Chinese_Traditional,這是我們的渴望。這是我們的目標。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0020-Zenith,
English_US,The men of business. They are our destination.,
Description,,
French,Les hommes des affaires. Ils sont notre destination.,
Italian,Gli uomini degli affari. Sono la nostra destinazione.,
German,Diese Männer des Geschäfts. Sie sind unser Ziel.,
Spanish_Spain,Los hombres de negocios. Ellos son nuestro destino.,
Spanish_LATAM,Los hombres de negocios. Son nuestro destino.,
Korean,회사원이 되는 것. 그게 우리의 목적지야.,
Russian,,
Japanese,カイシャの方々。ワタシタチの目標デス。,
Portuguese_Brazil,Os homens de negócios. Eles são o nosso destino.,
Chinese_Simplified,那群商界人士。正是我等的目标。,
Chinese_Traditional,做生意的人。他們是我們的終點。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0021-Alta,
English_US,"Like, permanently??",
Description,,
French,Tu veux dire… pour toujours ?,
Italian,Intendi per sempre?,
German,Wie …für immer?,
Spanish_Spain,¿Para siempre?,
Spanish_LATAM,¡¿Para siempre?!,
Korean,"설마, 영원히요??",
Russian,,
Japanese,じゃあ、ずっとそのまま？,
Portuguese_Brazil,"Tipo, permanentemente??",
Chinese_Simplified,你是说永远持续下去吗？？,
Chinese_Traditional,意思是，最後的終點？？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0022-Zenith,
English_US,We do not understand.,
Description,,
French,Nous ne comprenons pas.,
Italian,Non comprendiamo la tua domanda.,
German,Wir verstehen nicht.,
Spanish_Spain,No entendemos.,
Spanish_LATAM,No entendemos.,
Korean,무슨 말인지 모르겠구나.,
Russian,,
Japanese,意味が、わかりマセン。,
Portuguese_Brazil,Não entendemos.,
Chinese_Simplified,我等没明白你的话。,
Chinese_Traditional,我們不知道。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0023-Alta,
English_US,Are you going to be a businessman forever? Or is this temporary?,
Description,,
French,"Tu comptes devenir homme d'affaires pour toujours ? Ou bien c'est temporaire ?",
Italian,"Sarai un uomo d'affari per sempre? Oppure è una cosa temporanea?",
German,Werdet ihr für immer ein Geschäftsmann bleiben? Oder ist das nur zeitweilig?,
Spanish_Spain,¿Vas a ser un hombre de negocios para siempre? ¿O esto es solo temporal?,
Spanish_LATAM,¿Vas a ser un hombre de negocios para siempre? ¿O es algo temporal?,
Korean,영원히 회사원이 되는 거예요? 아니면 일시적인 거예요?,
Russian,,
Japanese,永久に会社員の姿になるのか？ それとも今だけってこと？,
Portuguese_Brazil,Você vai ser um homem de negócios pra sempre? Ou é temporário?,
Chinese_Simplified,你打算永远变成商人的样子吗？还是说暂时变一下？,
Chinese_Traditional,你們會永遠成為生意人嗎？還是說這只是暫時的？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0024-Zenith,
English_US,We still do not. Understand.,
Description,,
French,Nous ne comprenons. Toujours pas.,
Italian,Ancora non. Comprendiamo.,
German,Wir verstehen immer. Noch nicht.,
Spanish_Spain,Todavía no. Entendemos.,
Spanish_LATAM,Seguimos. Sin entender.,
Korean,여전히 무슨 말인지. 모르겠구나.,
Russian,,
Japanese,それも、わかりマセン。,
Portuguese_Brazil,Ainda não. Entendemos.,
Chinese_Simplified,我等还是。不明白你的话。,
Chinese_Traditional,我們還是。不知道。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0025-Alta,
English_US,"{{Zenith}}, c'mon, work with me! This is not what you promised!",
Description,,
French,"{{Zenith}}, allez ! Travaille avec moi ! Ce n'est pas ce que tu m'avais promis !",
Italian,"{{Zenith}}, forza, rimani con me! Questo non è quello che avevi promesso!",
German,"{{Zenith}}, komm schon, ihr müsst mitmachen! Das ist nicht, was ihr mir versprochen habt!",
Spanish_Spain,"¡{{Zenith}}, vamos, colabora conmigo! ¡Esto no es lo que prometiste!",
Spanish_LATAM,"¡Ay, vamos, {{Zenith}}! ¡No seas así! ¡Esto no es lo que prometiste!",
Korean,"{{Zenith}}, 빨리 하려던 거 마저 해요! 약속이 다르잖아요!",
Russian,,
Japanese,{{ゼニス}}、頼むよ。私と一緒に来てくれ！ 話が違うだろ！,
Portuguese_Brazil,"{{Zenith}}, qual é, me ajuda! Não foi isso que você me prometeu!",
Chinese_Simplified,{{Zenith}}，别闹了，配合我！这和你说好的可不一样！,
Chinese_Traditional,{{Zenith}}，拜託，跟我合作！你們答應過我的！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0026-Zenith,
English_US,We wish to. We wish it very much. But.,
Description,From [0018-Choice],
French,Nous aimerions. Nous aimerions beaucoup. Mais.,
Italian,Lo desideriamo. Lo desideriamo tantissimo. Ma.,
German,Wir wollen. Wir wollen sehr. Aber.,
Spanish_Spain,Lo deseamos. Lo deseamos mucho. Pero.,
Spanish_LATAM,Lo deseamos. Lo deseamos mucho. Pero.,
Korean,우리도 돕고 싶단다. 정말 그러고 싶어. 하지만.,
Russian,,
Japanese,アナタを助けタイ。心からそう思ってイマス。でも…,
Portuguese_Brazil,Desejamos. Desejamos muito. Mas.,
Chinese_Simplified,我等愿意帮助你。我等真的很愿意帮助你。但是。,
Chinese_Traditional,我們想啊。我們非常想。但是。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0027-Zenith,
English_US,It is not in alignment. With the transformation. We are undergoing.,
Description,,
French,"Ce n'est pas en alignement. Avec la transformation. Que nous subissons.",
Italian,Non è in linea. Con la trasformazione. Che stiamo vivendo.,
German,Es stimmt nicht mit. Der Verwandlung überein. Die wir durchlaufen.,
Spanish_Spain,No está alineado. Con la transformación. Que estamos sufriendo.,
Spanish_LATAM,No está alineado. Con la transformación. Que estamos sufriendo.,
Korean,지금 일어나는. 우리의 변화에는. 맞지 않는 일이야.,
Russian,,
Japanese,同時にはムリなのデス。ワタシタチは変化を経てイマスカラ。,
Portuguese_Brazil,Não está alinhado. Com a transformação. Pela qual estamos passando.,
Chinese_Simplified,那样做。和我等正在进行的变身。有所冲突。,
Chinese_Traditional,這違背。我們正在經歷的。轉化。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0028-Zenith,
English_US,They are at odds. And so. We must align with the transformation.,
Description,,
French,Ça ne colle pas. Et donc. Nous devons nous aligner avec la transformation.,
Italian,È un dilemma. E così. Abbiamo scelto di allinearci con la trasformazione.,
German,Sie stehen gegeneinander. Und darum. Müssen wir mit der Verwandlung übereinkommen.,
Spanish_Spain,Son deseos dispares. Y entonces. Debemos alinearnos con la transformación.,
Spanish_LATAM,Son deseos dispares. Y entonces. Debemos alinearnos con la transformación.,
Korean,둘은 상충해. 그래서. 우린 이 변화에 맞춰야 해.,
Russian,,
Japanese,互いに干渉してシマウ。今は変化に同調しナクテハ。,
Portuguese_Brazil,"Elas discordam. E, por isso. Precisamos nos alinhar com a transformação.",
Chinese_Simplified,两者不可兼得。所以。我等必须配合变身的步调。,
Chinese_Traditional,這兩項任務相衝突。因此。我們必須遵照轉化。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0029-Alta,
English_US,But what about everything you promised me? How can you just abandon that?,
Description,,
French,"Mais tout ce que tu m'as promis ? Comment peux-tu tout abandonner comme ça ?",
Italian,E tutto quello che mi hai promesso? Come puoi dimenticarlo così facilmente?,
German,"Aber was ist mit allem, das ihr mir versprochen habt? Wie könnt ihr das einfach fallenlassen?",
Spanish_Spain,¿Pero qué pasa con todo lo que me prometiste? ¿Cómo puedes abandonar eso?,
Spanish_LATAM,¿Pero qué pasa con lo que me prometiste? ¿Cómo puedes olvidarte de todo eso?,
Korean,그렇지만 약속한 건 어쩌고요? 약속을 그렇게 내팽개쳐도 돼요?,
Russian,,
Japanese,でも、私との約束はどうなる？ 何もかも投げ出すなんて、ひどすぎないか？,
Portuguese_Brazil,Mas e tudo que você me prometeu? Como você pode simplesmente abandonar isso?,
Chinese_Simplified,但你答应我的事情怎么办？你怎么能就这样出尔反尔？,
Chinese_Traditional,但你們答應過我的那些話呢？你們怎麼可以就這樣食言？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0030-Alta,
English_US,You said you had an answer! You said I could be fixed!,
Description,,
French,Tu as dit que tu avais une réponse ! Tu as dit que je pouvais être guérie !,
Italian,Hai detto di avere una risposta! Hai detto che potevo essere guarita!,
German,"Ihr habt gesagt, ihr habt die Antwort! Ihr habt gesagt, ihr könnt mich reparieren!",
Spanish_Spain,¡Dijiste que tenías una respuesta! ¡Dijiste que me podía arreglar!,
Spanish_LATAM,¡Dijiste que tenías una respuesta! ¡Dijiste que me podías ayudar!,
Korean,답은 안다고 했잖아요! 날 고칠 수 있다고 했잖아요!,
Russian,,
Japanese,答えがあると言ったろ！ 私を元に戻せるって！,
Portuguese_Brazil,Você disse que tinha uma resposta! Você disse que eu tinha solução!,
Chinese_Simplified,你明明说过自己有答案的！你说过可以让我复原！,
Chinese_Traditional,你說你有答案了！你說我可以被修復！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0031-Zenith,
English_US,Human {{Alta}}. Do you truly wish. For us to not transform?,
Description,,
French,Être humain {{Alta}}. Souhaites-tu réellement. Que nous ne nous transformions pas ?,
Italian,Essere umano {{Alta}}. Desideri davvero. Che non ci trasformiamo?,
German,"Menschin {{Alta}}. Willst du wirklich, dass. Wir uns nicht verwandeln?",
Spanish_Spain,Humana {{Alta}}. ¿Realmente deseas? ¿Que no nos transformemos?,
Spanish_LATAM,Humana {{Alta}}. ¿En verdad deseas? ¿Que no nos transformemos?,
Korean,인간 {{Alta}}. 정말 우리가. 변하지 않기를 바라니?,
Russian,,
Japanese,人間{{アルタ}}、本当に望むノデスカ？ 変化を止めるコトを。,
Portuguese_Brazil,Humana {{Alta}}. Você realmente deseja. Que nós não nos transformemos?,
Chinese_Simplified,人类{{Alta}}。你真的不希望。我们变身吗？,
Chinese_Traditional,人類{{Alta}}。你真的希望。我們不要轉化嗎？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0032-Zenith,
English_US,To resist it. Would be. Disastrous.,
Description,,
French,Y résister. Serait. Désastreux.,
Italian,Opporre resistenza. Sarebbe. Disastroso.,
German,Dem zu widerstehen. Wäre katastrophal. Desaströs.,
Spanish_Spain,Resistirlo. Sería. Desastroso.,
Spanish_LATAM,Resistirlo. Sería. Desastroso.,
Korean,변화를. 거부한 결과는. 처참할 거야.,
Russian,,
Japanese,変化に抗えば、きっと、大惨事にナル。,
Portuguese_Brazil,Resistir a ela. Seria. Desastroso.,
Chinese_Simplified,如果我等抗拒变身。那将带来。灾难性的后果。,
Chinese_Traditional,抗拒轉化。會是。災難一場。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0033-Zenith,
English_US,Can you understand?,
Description,,
French,Peux-tu comprendre ?,
Italian,Puoi capirlo?,
German,Kannst du verstehen?,
Spanish_Spain,¿Lo entiendes?,
Spanish_LATAM,¿Entiendes?,
Korean,이해할 수 있겠니?,
Russian,,
Japanese,わかりマスか？,
Portuguese_Brazil,Consegue compreender?,
Chinese_Simplified,你能理解吗？,
Chinese_Traditional,你懂嗎？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0034-Alta,
English_US,...sigh...,
Description,,
French,… pfff…,
Italian,… oh...,
German,…Seufz …,
Spanish_Spain,Uf...,
Spanish_LATAM,Uf...,
Korean,...휴…,
Russian,,
Japanese,…ハァ…,
