key,source,Translation
French,Délicieux ! Délicieux ! Quel délice ! \n <Zenith>Joli.</>,
Italian,Delizioso! Delizioso! Ma che delizia! \n <Zenith>Bello.</>,
German,Wie wonnig! Wie wonnig! Was für eine Wonne! \n <Zenith>Wunderschön.</>,
Spanish_Spain,¡Maravilloso! ¡Maravilloso! ¡Qué maravilla! \n <Zenith>Bonito.</>,
Spanish_LATAM,¡Maravilloso! ¡Maravilloso! ¡Qué maravilla! \n <Zenith>Bonito.</>,
Korean,여기 좋다! 참 좋다! 정말 좋아! \n <Zenith>아름다워.</>,
Russian,Delightful! Delightful! Such a delight! \n <Zenith>Beautiful.</>,
Japanese,楽しイ！ 楽しイ！ とても楽しイ！ \n <Zenith>スバラシイ。</>,
Portuguese_Brazil,Maravilhoso! Maravilhoso! Que maravilhoso! \n <Zenith>Lindo.</>,
Chinese_Simplified,太妙了！太妙了！真是妙不可言！ \n <Zenith>不可方物。</>,
Chinese_Traditional,很棒！很棒！真棒！\n<Zenith>真美好。</>,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0003-Zenith,
English_US,Мы {{Zenith}}. \n <Zenith>Привет!</>,
Description,,
French,Nous sommes {{Zenith}}. \n <Zenith>Bonjour !</>,
Italian,Siamo {{Zenith}}. \n <Zenith>Ciao!</>,
German,Wir sind {{Zenith}}. \n <Zenith>Hallo!</>,
Spanish_Spain,Somos {{Zenith}}. \n <Zenith>¡Hola!</>,
Spanish_LATAM,Somos {{Zenith}}. \n <Zenith>¡Hola!</>,
Korean,우린 {{Zenith}}야. \n <Zenith>안녕!</>,
Russian,We are {{Zenith}}. \n <Zenith>Hello!</>,
Japanese,ワタシタチは{{ゼニス}}。 \n <Zenith>ハロー！</>,
Portuguese_Brazil,Somos {{Zenith}}. \n <Zenith>Olá!</>,
Chinese_Simplified,我等名为{{Zenith}}。 \n <Zenith>你好！</>,
Chinese_Traditional,我們是{{Zenith}}。\n<Zenith>哈囉！</>,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0004-Zenith,
English_US,Мы прошли по Бесконечному Пути. Чтобы быть здесь. \n <Zenith>Чтобы быть здесь.</>,
Description,"""infinite path"" is a made up phrase meant to sound like a magical realm far away",
French,Nous avons emprunté le Sentier infini. Pour venir ici. \n <Zenith>Pour venir ici.</>,
Italian,Abbiamo viaggiato lungo il Sentiero Infinito. Per arrivare qua. \n <Zenith>Per arrivare qua.</>,
German,Wir haben den Endlosen Pfad bereist. Um hier zu sein. \n <Zenith>Um hier zu sein.</>,
Spanish_Spain,Hemos recorrido el Camino Infinito. Para estar aquí. \n <Zenith>Para estar aquí.</>,
Spanish_LATAM,Hemos recorrido el Camino Infinito. Para estar aquí. \n <Zenith>Para estar aquí.</>,
Korean,우린 무한의 길을 따라 긴 여행을 해서. 이곳에 왔단다. \n <Zenith>이곳에 왔단다.</>,
Russian,We have traveled along the Infinite Path. To be here. \n <Zenith>To be here.</>,
Japanese,“無限の路”を旅してきマシタ。ここに来るため。 \n <Zenith>ココニクルタメ。</>,
Portuguese_Brazil,Viajamos pelo Caminho Infinito. Para estarmos aqui. \n <Zenith>Para estarmos aqui.</>,
Chinese_Simplified,我等遨游于无垠之路。前来此处。 \n <Zenith>前来此处。</>,
Chinese_Traditional,我們穿越無限通道。來到此處。\n<Zenith>來到此處。</>,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0005-Zenith,
English_US,Мы видели ваш мир. Мы полюбили ваш мир. Он восхитителен! \n <Zenith>Восхитителен.</>,
Description,,
French,Nous avons vu ton monde. On a adoré ton monde. Il est délicieux ! \n <Zenith>Délicieux.</>,
Italian,Abbiamo visto il tuo mondo. Abbiamo amato il tuo mondo. È delizioso! \n <Zenith>Delizioso.</>,
German,Wir haben eure Welt gesehen. Wir haben eure Welt gesehen. Sie ist wonnig! \n <Zenith>Wonnig.</>,
Spanish_Spain,Hemos visto tu mundo. Nos ha encantado tu mundo. ¡Es maravilloso! \n <Zenith>Maravilloso.</>,
Spanish_LATAM,Hemos visto tu mundo. Nos ha encantado tu mundo. ¡Es maravilloso! \n <Zenith>Maravilloso.</>,
Korean,이 세계를 봤는데. 정말 좋더구나. 참 근사해! \n <Zenith>근사해.</>,
Russian,We have seen your world. We have loved your world. It is delightful! \n <Zenith>Delightful.</>,
Japanese,アナタタチの世界を見マシタ。とても好きにナッタ。楽しイ！ \n <Zenith>タノシイ！</>,
Portuguese_Brazil,Vimos o seu mundo. Amamos o seu mundo. Ele é uma maravilha! \n <Zenith>Uma maravilha.</>,
Chinese_Simplified,我等见识过了此方世界。我等爱上了此方世界。此方世界当真妙不可言！ \n <Zenith>妙不可言。</>,
Chinese_Traditional,我們見識過你的世界。我們喜愛你的世界。充滿喜悅！\n<Zenith>歡欣無比。</>,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0006-Alta,
English_US,Эммм...,
Description,,
French,Euh…,
Italian,Uhhh...,
German,Äääh …,
Spanish_Spain,Eh…,
Spanish_LATAM,Eh…,
Korean,어어...,
Russian,Uhhh...,
Japanese,えーと…,
Portuguese_Brazil,Ahmm...,
Chinese_Simplified,呃……,
Chinese_Traditional,呃……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0007-Choice,
English_US,"...что ты такое, вообще?",
Description,,
French,"… et tu es quoi, au juste ?",
Italian,Cosa sei… esattamente?,
German,…Was genau bist du?,
Spanish_Spain,¿Qué eres exactamente?,
Spanish_LATAM,¿Me puedes decir qué eres?,
Korean,"...대체 뭐죠, 당신은?",
Russian,"...what are you, exactly?",
Japanese,…あんたは何者だ？,
Portuguese_Brazil,"O que você é, exatamente?",
Chinese_Simplified,……你到底是什么？,
Chinese_Traditional,……你們到底是什麼？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0008-Choice,
English_US,...что такое Бесконечный Путь??,
Description,,
French,… c'est quoi le Sentier infini ?,
Italian,Cos'è il Sentiero Infinito?,
German,…Was ist der Endlose Pfad?,
Spanish_Spain,¿Qué es el Camino Infinito?,
Spanish_LATAM,¿Qué es el Camino Infinito?,
Korean,...무한의 길이 뭔데요??,
Russian,...what is the Infinite Path??,
Japanese,…“無限の路”とは何だ？,
Portuguese_Brazil,O que é o Caminho Infinito?,
Chinese_Simplified,……无垠之路是什么？？,
Chinese_Traditional,……無限通道是什麼？？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0009-Choice,
English_US,...что?!??,
Description,,
French,… quoi ?!?!,
Italian,… Cosa?!?!,
German,…Was?!,
Spanish_Spain,¿¡¿¡Qué!?!?,
Spanish_LATAM,¡¿Qué?!,
Korean,...뭐라고요?!?!,
Russian,...what?!?!,
Japanese,…はぁ？！,
Portuguese_Brazil,Quê?!?!,
Chinese_Simplified,……什么？！？！,
Chinese_Traditional,……什麼？！？！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0010-Zenith,
English_US,Мы {{Zenith}}! \n <Zenith>Привет!</>,
Description,From [0007-Choice],
French,Nous sommes {{Zenith}} ! \n <Zenith>Bonjour !</>,
Italian,Siamo {{Zenith}}! \n <Zenith>Ciao!</>,
German,Wir sind {{Zenith}}! \n <Zenith>Hallo!</>,
Spanish_Spain,¡Somos {{Zenith}}! \n <Zenith>¡Hola!</>,
Spanish_LATAM,¡Somos {{Zenith}}! \n <Zenith>¡Hola!</>,
Korean,우린 {{Zenith}}야! \n <Zenith>안녕!</>,
Russian,We are {{Zenith}}! \n <Zenith>Hello!</>,
Japanese,ワタシタチは{{ゼニス}}！ \n <Zenith>ハロー！</>,
Portuguese_Brazil,Somos {{Zenith}}! \n <Zenith>Olá!</>,
Chinese_Simplified,我等名为{{Zenith}}！ \n <Zenith>你好！</>,
Chinese_Traditional,我們是{{Zenith}}！\n<Zenith>哈囉！</>,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0011-Zenith,
English_US,Мы родились в четырёх разных реальностях. \n <Zenith>Одновременно.</>,
Description,"""realities"" means ""dimensions"" in this case",
French,Nous sommes nés dans quatre réalités différentes. \n <Zenith>Simultanément.</>,
Italian,Siamo nate in quattro realtà diverse. \n <Zenith>Simultaneamente.</>,
German,Wir wurden in vier verschiedenen Wirklichkeiten geboren. \n <Zenith>Gleichzeitig.</>,
Spanish_Spain,Nacimos en cuatro realidades diferentes. \n <Zenith>Simultáneamente.</>,
Spanish_LATAM,Nacimos en cuatro realidades diferentes. \n <Zenith>Simultáneamente.</>,
Korean,우린 네 가지 차원에서 동시에. \n <Zenith>태어났지.</>,
Russian,We were born in four different realities. \n <Zenith>Simultaneously.</>,
Japanese,ワタシタチは4つの異ナル現実で生まれマシタ。 \n <Zenith>ドウジニ。</>,
Portuguese_Brazil,Nascemos em quatro realidades diferentes. \n <Zenith>Simultaneamente</>.,
Chinese_Simplified,我等诞生于四处不同的次元。 \n <Zenith>同时诞生。</>,
Chinese_Traditional,我們誕生自四個不同的時空。\n<Zenith>同時出生。</>,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0012-Zenith,
English_US,Мы стали считать себя. Путешественником. Искателем. Находчиком. \n <Zenith>Всеми сразу.</>,
Description,,
French,Nous nous considérons. En tant que voyageur. Un chercheur. Un trouveur. \n <Zenith>Tout ça en même temps.</>,
Italian,Ci consideriamo. Come un viaggiatore. Un profugo. Un cercatore. \n <Zenith>Tutte insieme.</>,
German,Wir betrachten uns als. Als Reisende. Suchende. Findende. \n <Zenith>All das.</>,
Spanish_Spain,Hemos venido a pensar en nosotras mismas. Como viajeras. Como exploradoras. Como buscadoras. \n <Zenith>Todas ellas.</>,
Spanish_LATAM,Hemos venido a pensar en nosotras mismas. Como viajeras. Como exploradoras. Como buscadoras. \n <Zenith>Todas ellas.</>,
Korean,우리가 생각하는 우리는. 여행자. 구도자. 발견자. \n <Zenith>그 모든 것.</>,
Russian,We have come to think of ourselves. As a traveler. A seeker. A finder. \n <Zenith>All of them.</>,
Japanese,ワタシタチ、自分をこう考えてイマス。旅人。探求者。発見者。 \n <Zenith>ソノスベテ。</>,
Portuguese_Brazil,Nos consideramos. Um ser viajante. Um ser explorador. Um ser desvendador. \n <Zenith>Tudo.</>,
Chinese_Simplified,我等自认为。旅行者。探求者。发现者。 \n <Zenith>三者一体。</>,
Chinese_Traditional,我們將自己認定是。旅行者。追尋者。搜索者。\n<Zenith>兼具這些身份。</>,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0013-Zenith,
English_US,Мы не знаем больше. О нашем происхождении.,
Description,,
French,Nous ne savons pas plus. Au sujet de notre origine.,
Italian,Non sappiamo altro. Della nostra origine.,
German,Mehr als das wissen wir nicht. Über unsere Herkunft.,
Spanish_Spain,No sabemos más que eso. De nuestro origen.,
Spanish_LATAM,No sabemos más que eso. Sobre nuestro origen.,
Korean,그 외에는 우리도 몰라. 어디서 왔는지도.,
Russian,We do not know more than that. Of our origin.,
Japanese,それ以上はわかりマセン。自分の生まれのコト。,
Portuguese_Brazil,Não sabemos mais que isso. De nossa origem.,
Chinese_Simplified,除此之外，关于我等的起源。我等也知之甚少。,
Chinese_Traditional,除此之外，我們一無所知。不知道自己的起源。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0014-Zenith,
English_US,"Мы просто существуем. В этот момент времени, здесь, с тобой. \n <Zenith>Привет!</>",
Description,,
French,"Nous existons tout simplement. En cet instant du temps, ici, avec toi. \n <Zenith>Bonjour !</>",
Italian,"Esistiamo. In questo preciso momento, qui, con te. \n <Zenith>Ciao!</>",
German,"Wir existieren lediglich. In diesem Moment der Zeit, hier, mit dir. \n <Zenith>Hallo!</>",
Spanish_Spain,"Simplemente existimos. En este momento, aquí, contigo. \n <Zenith>¡Hola!</>",
Spanish_LATAM,"Simplemente existimos. En este momento, aquí, contigo. \n <Zenith>¡Hola!</>",
Korean,그냥 존재할 뿐. 지금은 이렇게 너와 함께 있어. \n <Zenith>안녕!</>,
Russian,"We merely exist. At this moment in time, here, with you. \n <Zenith>Hello!</>",
Japanese,ただ存在してイマス。今、この瞬間に、ここに、アナタと。 \n <Zenith>ハロー！</>,
Portuguese_Brazil,"Simplesmente existimos. Neste momento no tempo, aqui, com você. \n <Zenith>Olá!</>",
Chinese_Simplified,总之我等就这样凭空诞生。并在此时此地与你相遇。 \n <Zenith>你好！</>,
Chinese_Traditional,我們就只是存在。此刻，此地，與你同在。\n<Zenith>哈囉！</>,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0015-Zenith,
English_US,Всё остальное исчезает. В ткани непознаваемого.,
Description,,
French,Tout le reste s'estompe. Dans la trame de l'inconnu.,
Italian,Tutto il resto svanisce. Nella trama dell'ignoto.,
German,Alles andere vergeht. In das Gewebe des Unwissbaren.,
Spanish_Spain,Todo lo demás se desvanece. En el tejido de lo incognoscible.,
Spanish_LATAM,Todo lo demás se desvanece. En el tejido de lo incognoscible.,
Korean,다른 모든 것은 미지의 세계로 희미해져 가.,
Russian,All else fades. Into the fabric of the unknowable.,
Japanese,それ以外のすべては消えゆきマス。不可知の彼方へ。,
Portuguese_Brazil,Todo o resto se desfaz. Em um tecido de elementos desconhecidos.,
Chinese_Simplified,其他一切。都消逝在不可知之中。,
Chinese_Traditional,其他問題都會消散。消散至未知領域中。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0016-Zenith,
English_US,"Мы видим по твоему лицу, этот ответ не помогает. \n <Zenith>Смущён.</>",
Description,,
French,Nous lisons sur ton visage que cette réponse ne t'aide pas beaucoup. \n <Zenith>Confuse.</>,
Italian,"Lo vediamo dalla tua faccia, che non è una risposta utile. \n <Zenith>Confusione.</>",
German,"Wir sehen auf deinem Gesicht, dass diese Antwort nicht hilft. \n <Zenith>Verwirrt.</>",
Spanish_Spain,Vemos en tu cara que esta no es una respuesta útil. \n <Zenith>Confundida.</>,
Spanish_LATAM,Vemos en tu cara que esta no es una respuesta útil. \n <Zenith>Confundida.</>,
Korean,표정을 보니 답이 도움이 되지 않았구나. \n <Zenith>혼란스럽나 보다.</>,
Russian,"We see on your face, this is not a helpful answer. \n <Zenith>Confused.</>",
Japanese,顔に書いてありマスネ。よくわからナイ答えだと。 \n <Zenith>ヤヤコシイ。</>,
Portuguese_Brazil,Vemos em seu rosto que essa não é uma resposta útil. \n <Zenith>Confusa.</>,
Chinese_Simplified,看来，我等的回答没能为你解惑。 \n <Zenith>令人困惑。</>,
Chinese_Traditional,從你的表情看來，這個回答幫助不大。\n<Zenith>困惑。</>,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0017-Alta,
English_US,"Просто, эээ... Я никогда раньше не видела ничего подобного тебе.",
Description,,
French,C'est que… euh… je n'avais encore jamais vu quelque chose comme toi.,
Italian,È solo che... non ho mai visto niente del genere prima d'ora.,
German,"Es ist nur, äh … Ich habe noch nie etwas wie euch gesehen.",
Spanish_Spain,Solo es que... Nunca había visto a alguien como tú.,
Spanish_LATAM,Pasa que nunca había visto a alguien... o algo... como tú.,
Korean,"그게, 저... 난 그쪽 같은 존재를 본 적이 없어서요.",
Russian,"It's just, uh... I've never seen anything like you before.",
Japanese,いや、ただ…あんたみたいなのは初めて見るから。,
Portuguese_Brazil,"É que, ahm... eu nunca vi nada como você antes.",
Chinese_Simplified,那个，呃……我从未见识过你这样的存在。,
Chinese_Traditional,就，呃……我從來沒見過跟你們一樣的東西。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0018-Zenith,
English_US,"И мы, в свою очередь, никогда не видели ничего подобного тебе. Это радость. Открывать! \n <Zenith>Радостно!</>",
Description,,
French,"Et nous, à notre tour, n'avions jamais vu quelque chose comme toi. C'est un plaisir. À découvrir ! \n <Zenith>Heureux !</>",
Italian,"E noi, a nostra volta, non abbiamo mai visto niente come te. È una felicità. Da scoprire! \n <Zenith>Felicità!</>",
German,Und wir unsererseits haben noch nie etwas wie dich gesehen. Es ist eine Freude. Zu entdecken! \n <Zenith>Freudig!</>,
Spanish_Spain,"Y nosotras, de igual modo, nunca hemos visto nada como tú. Es una alegría. ¡Descubrir! \n <Zenith>¡Alegre!</>",
Spanish_LATAM,"Y nosotras, de igual modo, nunca habíamos visto nada como tú. ¡Es una alegría! ¡Descubrir! \n <Zenith>¡Alegre!</>",
Korean,우리도 너와 같은 존재를 본 적이 없단다. 발견하게 되어. 정말 기쁘다! \n <Zenith>기뻐!</>,
Russian,"And we, in turn, have never seen anything like you. It is a joy. To discover! \n <Zenith>Joyful!</>",
Japanese,ワタシタチも同じ。あなたのような方は初めて見マス。それは喜び。発見デス！ \n <Zenith>ヨロコビ！</>,
Portuguese_Brazil,"E nós, por nossa vez, nunca vimos nada como você. É um prazer. Descobrir! \n <Zenith>Que alegria!</>",
Chinese_Simplified,而我等也从未见过你这般人物。遇见你。真是开心！ \n <Zenith>开心！</>,
Chinese_Traditional,而我們也從未見過任何跟你一樣的東西。這就是。探索的樂趣！\n<Zenith>真快樂！</>,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0019-Zenith,
English_US,Бесконечный Путь! Какой славный путь! \n <Zenith>Славный!</>,
Description,From [0008-Choice],
French,Le Sentier infini ! Quel sentier splendide ! \n <Zenith>splendide !</>,
Italian,Il Sentiero Infinito! Che sentiero glorioso! \n <Zenith>Glorioso!</>,
German,Der Endlose Pfad! Was für ein ruhmreicher Pfad! \n <Zenith>Ruhmreich!</>,
Spanish_Spain,¡El Camino Infinito! ¡Qué camino tan glorioso! \n <Zenith>¡Glorioso!</>,
Spanish_LATAM,¡El Camino Infinito! ¡Qué camino tan glorioso! \n <Zenith>¡Glorioso!</>,
Korean,무한의 길! 영광스러운 길이지! \n <Zenith>영광스럽지!</>,
Russian,The Infinite Path! What a glorious path! \n <Zenith>Glorious!</>,
Japanese,“無限の路”！ なんと輝かしい路でショウ！ \n <Zenith>マブシイ！</>,
Portuguese_Brazil,O Caminho Infinito! Que caminho glorioso! \n <Zenith>Glorioso!</>,
Chinese_Simplified,无垠之路！它是无比辉煌的道路！ \n <Zenith>辉煌之路！</>,
Chinese_Traditional,無限通道！多壯麗的通道啊！\n<Zenith>壯麗！</>,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0020-Zenith,
English_US,"Линия, которая соединяет. Все сознания. Нанизывает их на бесконечную нить. \n <Zenith>Бесконечную.</>",
Description,,
French,La ligne qui connecte. Toutes les consciences. Reliées sur le fil éternel. \n <Zenith>Éternel.</>,
Italian,La linea che collega. Tutte le coscienze. Legandole al filo infinito. \n <Zenith>Infinito.</>,
German,"Die Linie, die alle. Bewusstheiten verbindet. Sie auf einen unaufhörlichen Faden fädelt. \n <Zenith>Unaufhörlich.</>",
Spanish_Spain,La línea que conecta. Todas las conciencias. Las encadena al hilo interminable. \n <Zenith>Infinito.</>,
Spanish_LATAM,La línea que conecta. Todas las conciencias. Las encadena al hilo interminable. \n <Zenith>Infinito.</>,
Korean,그건 모든 의식을. 연결하는 선이란다. 의식이 끝없는 실타래에 연결되어 있어. \n <Zenith>끝없이.</>,
Russian,The line which connects. All consciousnesses. Strings them upon the unending thread. \n <Zenith>Unending.</>,
Japanese,繋いでいるのデス。あらゆる意識を。終わりなき糸を紡ぐヨウニ。 \n <Zenith>ハテシナク。</>,
Portuguese_Brazil,A linha que conecta. Todas as consciências. As une em um fio infinito. \n <Zenith>Infinito.</>,
Chinese_Simplified,它连接着。一切有意识的生命。它把一切生命汇聚在无尽的洪流中。 \n <Zenith>无尽的洪流。</>,
Chinese_Traditional,連結的線路。所有意識。串連在永不終結的線路上。\n<Zenith>永不終結。</>,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0021-Zenith,
English_US,Мы шли по нему. Мы танцевали по нему. Мы нашли его восхитительным. \n <Zenith>Восхитительным.</>,
Description,,
French,Nous y avons marché. Nous y avons dansé. Nous l'avons trouvé délicieux. \n <Zenith>Délicieux.</>,
Italian,L'abbiamo camminato. L'abbiamo ballato. L'abbiamo trovato delizioso. \n <Zenith>Delizioso.</>,
German,Wir haben ihn beschritten. Wir haben ihn übertanzt. Wir fanden ihn wonnig. \n <Zenith>Wonnig.</>,
Spanish_Spain,Hemos caminado por él. Hemos bailado por él. Nos pareció encantador. \n <Zenith>Encantador.</>,
Spanish_LATAM,Hemos caminado por él. Hemos bailado por él. Nos pareció encantador. \n <Zenith>Encantador.</>,
Korean,그 길을 걸었어. 그 길을 춤췄어. 정말 근사했지. \n <Zenith>근사했어.</>,
Russian,We walked it. We danced it. We found it delightful. \n <Zenith>Delightful.</>,
Japanese,ワタシタチは無限の路を歩んだ。踊りながラ。楽しカッタ。 \n <Zenith>タノシイ。</>,
Portuguese_Brazil,Caminhamos por ele. Dançamos nele. Encontramos prazer nele. \n <Zenith>Maravilhoso.</>,
Chinese_Simplified,我等于其中行走。我等于其上舞动。我等见证它的妙不可言。 \n <Zenith>妙不可言。</>,
Chinese_Traditional,我們在其上走動。我們在其上舞動。我們充滿喜悅。\n<Zenith>歡欣無比。</>,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0022-Zenith,
English_US,"Мы видим по твоему лицу, этот ответ не помогает. \n <Zenith>Смущён.</>",
Description,,
French,Nous lisons sur ton visage que cette réponse ne t'aide pas beaucoup. \n <Zenith>Confuse.</>,
Italian,"Lo vediamo dalla tua faccia, che non è una risposta utile. \n <Zenith>Confusione.</>",
German,"Wir sehen auf deinem Gesicht, dass diese Antwort nicht hilft. \n <Zenith>Verwirrt.</>",
Spanish_Spain,Vemos en tu cara que esta no es una respuesta útil. \n <Zenith>Confundida.</>,
Spanish_LATAM,Vemos en tu cara que esta no es una respuesta útil. \n <Zenith>Confundida.</>,
Korean,표정을 보니 답이 도움이 되지 않았구나. \n <Zenith>혼란스럽나 보다.</>,
Russian,"We see on your face, this is not a helpful answer. \n <Zenith>Confused.</>",
Japanese,顔に書いてありマスネ。よくわからナイ答えだと。 \n <Zenith>ヤヤコシイ。</>,
Portuguese_Brazil,Vemos em seu rosto que essa não é uma resposta útil. \n <Zenith>Confusa.</>,
Chinese_Simplified,看来，我等的回答没能为你解惑。 \n <Zenith>令人困惑。</>,
Chinese_Traditional,從你的表情看來，這個回答幫助不大。\n<Zenith>困惑。</>,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0023-Alta,
English_US,"Просто, эээ... Я никогда раньше не видела ничего подобного тебе.",
Description,,
French,C'est que… euh… je n'avais encore jamais vu quelque chose comme toi.,
Italian,È solo che... non ho mai visto niente del genere prima d'ora.,
German,"Es ist nur, äh … Ich habe noch nie etwas wie euch gesehen.",
Spanish_Spain,Solo es que... Nunca había visto a alguien como tú.,
Spanish_LATAM,Pasa que nunca había visto a alguien... o algo... como tú.,
Korean,"그게, 저... 난 그쪽 같은 존재를 본 적이 없어서요.",
Russian,"It's just, uh... I've never seen anything like you before.",
Japanese,いや、ただ…あんたみたいなのは初めて見るから。,
Portuguese_Brazil,"É que, ahm... eu nunca vi nada como você antes.",
Chinese_Simplified,那个，呃……我从未见识过你这样的存在。,
Chinese_Traditional,就，呃……我從來沒見過跟你們一樣的東西。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0024-Zenith,
English_US,"И мы, в свою очередь, никогда не видели ничего подобного тебе. Это радость. Открывать! \n <Zenith>Радостно!</>",
Description,,
French,"Et nous, à notre tour, n'avions jamais vu quelque chose comme toi. C'est un plaisir. À découvrir ! \n <Zenith>Heureux !</>",
Italian,"E noi, a nostra volta, non abbiamo mai visto niente come te. È una felicità. Da scoprire! \n <Zenith>Felicità!</>",
German,Und wir unsererseits haben noch nie etwas wie dich gesehen. Es ist eine Freude. Zu entdecken! \n <Zenith>Freudig!</>,
Spanish_Spain,"Y nosotrss, de igual modo, nunca hemos visto nada como tú. Es una alegría. ¡Descubrir! \n <Zenith>¡Alegre!</>",
Spanish_LATAM,"Y nosotras, de igual modo, nunca habíamos visto nada como tú. ¡Es una alegría! ¡Descubrir! \n <Zenith>¡Alegre!</>",
Korean,우리도 너와 같은 존재를 본 적이 없단다. 발견하게 되어. 정말 기쁘다! \n <Zenith>기뻐!</>,
Russian,"And we, in turn, have never seen anything like you. It is a joy. To discover! \n <Zenith>Joyful!</>",
Japanese,ワタシタチも同じ。あなたのような方は初めて見マス。それは喜び。発見デス！ \n <Zenith>ヨロコビ！</>,
Portuguese_Brazil,"E nós, por nossa vez, nunca vimos nada como você. É um prazer. Descobrir! \n <Zenith>Que alegria!</>",
Chinese_Simplified,而我等也从未见过你这般人物。遇见你。真是开心！ \n <Zenith>开心！</>,
Chinese_Traditional,而我們也從未見過像你這樣的東西。這就是。探索的樂趣！\n<Zenith>真快樂！</>,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0025-Zenith,
English_US,Мы видим на твоём лице замешательство. \n <Zenith>Дезориентирован.</>,
Description,From [0009-Choice],
French,"Nous lisons sur ton visage, la confusion. \n <Zenith>Désorientée.</>",
