Spanish_Spain,"¡Pero qué dices, si me encanta pasármelo bien! Pasárselo bien es la cosa más fácil del mundo, ¿verdad?",
Spanish_LATAM,"Un montón de DIVERSIÓN, ¿verdad? Eso es lo que quisiste decir, ¿no?",
Korean,"""보통 재밌는 분이 아니겠다"" 이 말이죠? 그렇게 말하려던 것 맞죠?",
Russian,"""A whole lot of FUN,"" right? Isn't that what you were going to say?",
Japanese,“かなりアレ”というのは、“かなり楽しそう”ってことかな？ そうだよね？,
Portuguese_Brazil,"""MUITO divertido"", certo? Não era isso que você ia dizer?",
Chinese_Simplified,是“乐事一堆”吧？你本来想这么说吧？,
Chinese_Traditional,「一定很好玩」，對吧？你是不是本來想這麼說？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0008-Choice,
English_US,Вообще-то...,
Description,,
French,En fait-,
Italian,In effetti-,
German,Eigentlich–,
Spanish_Spain,De hecho...,
Spanish_LATAM,De hecho...,
Korean,사실은-,
Russian,Actually-,
Japanese,というか…,
Portuguese_Brazil,Na verdade...,
Chinese_Simplified,其实——,
Chinese_Traditional,其實——,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0009-Choice,
English_US,"Нет, я...",
Description,,
French,"Non, je-",
Italian,"No, io-",
German,"Nein, ich–",
Spanish_Spain,"No, yo...",
Spanish_LATAM,"No, quise decir que...",
Korean,그게 아니-,
Russian,"No, I-",
Japanese,いや、私は…,
Portuguese_Brazil,"Não, eu...",
Chinese_Simplified,不是，我——,
Chinese_Traditional,不是，我——,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0010-Choice,
English_US,"Видите ли, я это и имела в...",
Description,,
French,Et voilà... c'est ce que je disais-,
Italian,Quello che volevo dire era-,
German,"Siehst du, das meinte ich mit–",
Spanish_Spain,"Ves, a eso me refería...",
Spanish_LATAM,Justo a esto me ref...,
Korean,이럴까 봐 내가-,
Russian,"See, this is what I was referring-",
Japanese,ほら、そういうところがアレだと…,
Portuguese_Brazil,"Viu, era disso que eu estava falando...",
Chinese_Simplified,听着，我想说的是——,
Chinese_Traditional,看吧，這就是我剛才說——,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0011-Customer,
English_US,"Потому что я не только НАСТОЯЩИЙ РЫЦАРЬ, я ещё и ОЧЕНЬ ВЕСЁЛЫЙ РЫЦАРЬ!!",
Description,From [0008-Choice]<lf>From [0009-Choice]<lf>From [0010-Choice],
French,"Parce que non seulement je suis un VRAI CHEVALIER, mais je suis aussi un CHEVALIER VRAIMENT RIGOLO !",
Italian,"Perché non solo sono un CAVALIERE VERO, sono anche un CAVALIERE VERAMENTE DIVERTENTE!!",
German,"Ich bin nämlich nicht nur ein RICHTIGER RITTER, sondern auch ein RICHTIG LUSTIGER RITTER!",
Spanish_Spain,"¡¡¡Porque no solo soy un caballero real, sino que también soy un caballero realmente divertido!!!",
Spanish_LATAM,"¡Porque no solo soy un CABALLERO DE VERDAD, sino que también soy un CABALLERO MUY DIVERTIDO!",
Korean,그도 그럴 것이 난 진짜 기사지만 엄청 재밌는 기사이기도 하든요!,
Russian,"Because not only am I a REAL KNIGHT, I'm also a REALLY FUN KNIGHT!!",
Japanese,僕は本物の騎士であるばかりか、すごく楽しい騎士だからね！,
Portuguese_Brazil,"Porque, eu não sou apenas um CAVALEIRO DE VERDADE, eu também sou um CAVALEIRO MUITO DIVERTIDO!!",
Chinese_Simplified,因为我不光是一名真正的骑士老爷，还是一名快乐的骑士老爷！！,
Chinese_Traditional,因為我不只是真正的騎士，還是個好玩的騎士！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0012-Gerald,
English_US,"Рыцарь {{Джеральд}}, как вам будет господно. Добрейшего вам дня, а также и мне, ведь я самый настоящий рыцарь.",
Description,"""at your leige"" is a joke mashup of the phrases ""at your leisure"" and ""my leige"" (leige is a word a knight would say to a king). If this doesn't translate, you can have Gerald just say ""at your leisure""",
French,"{{Gerald}} le chevalier, pour te servir. Je te souhaite belle journée, ainsi qu'à moi, qui suis un véritable chevalier.",
Italian,"Il cavaliere {{Gerald}} al tuo servizio. Auguro una buona giornata a te, così come la auguro a me, che sono un vero cavaliere.",
German,"{{Gerald}} der Ritter, stets zu Dienstmann! Einen holden Tag dir, und auch mir, einem richtigen Ritter.",
Spanish_Spain,"{{Gerald}} el Caballero, a vuestra merced. Que tengas un buen día, y también para mí, que soy un auténtico caballero.",
Spanish_LATAM,"{{Gerald}} el Caballero, a su servicio. Deseo un buen día para ti, y también para mí, que soy un caballero de verdad.",
Korean,"기사 {{Gerald}}, 편히 모시겠습니다. 귀공과 진짜 기사인 내 앞에 화창한 날이 펼쳐지기를.",
Russian,"{{Gerald}} the Knight, at your liege. A fair day upon you, and also upon me, who is an actual knight.",
Japanese,騎士{{ジェラルド}}と申します。ごきげんよう、給仕閣下殿。本物の騎士であるソレガシにとっても良き日です。,
Portuguese_Brazil,"{{Gerald}}, o Cavaleiro, ao seu dispor. Que você tenha um belo dia, e eu também, que sou um cavaleiro de verdade.",
Chinese_Simplified,骑士{{Gerald}}，听候您差遣。愿您度过美好的一天，就和我，一名真正的骑士一样。,
Chinese_Traditional,{{Gerald}}騎士，忠貞不二。祝你有個美好的一天，也祝我這位真正的騎士有個美好的一天。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0013-Alta,
English_US,"Да, почему-то я не верю, что вы настоящий рыцарь.",
Description,,
French,"Ouais, je sais pas pourquoi, mais je doute que tu sois un vrai chevalier.",
Italian,Qualcosa mi dice che tu non sia un vero cavaliere.,
German,"Ja, also irgendwie kauf ich dir das mit dem richtigen Ritter nicht ab.",
Spanish_Spain,"Sí, no sé por qué, pero no creo que seas un caballero de verdad.",
Spanish_LATAM,¿Te digo algo? Me parece que no eres un caballero de verdad.,
Korean,"그래요, 근데 진짜 기사라는 건 못 믿겠네요.",
Russian,"Yeah, somehow I'm not buying that you're a real knight.",
Japanese,いや、なぜかあんたが本物の騎士とは思えないんだけど。,
Portuguese_Brazil,"É, por algum motivo, não estou acreditando que você é um cavaleiro de verdade.",
Chinese_Simplified,你是一名真正的骑士？我怎么不信呢？,
Chinese_Traditional,不知為何，我覺得你好像不是真正的騎士。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0014-Gerald,
English_US,...не верите? Но... но у меня же столько всяких рыцарских штук!,
Description,,
French,… ah oui ? Mais… j'ai pourtant tout l'attirail du chevalier !,
Italian,… ah no? E cosa mi dici di questo armamentario da cavaliere?,
German,Nicht? Aber …aber ich habe all das Ritterzeug!,
Spanish_Spain,"¿Ah, no? Pero... ¡pero tengo todas estas cosas de caballero!",
Spanish_LATAM,¡¿No?! ¡Pero... Pero tengo todas estas cosas de caballero!,
Korean,...못 믿겠어요? 하지만... 이렇게 기사용 장비도 다 갖췄는데요!,
Russian,...you're not? But... but I have all this knight stuff!,
Japanese,…そうかい？ でも…騎士グッズはそろってるだろ！,
Portuguese_Brazil,Não está? Mas... eu tenho todas essas coisas de cavaleiro.,
Chinese_Simplified,……你不信？可……可我全身都是骑士的行头啊！,
Chinese_Traditional,……你不相信？但是……我具備所有騎士的行頭啊！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0015-Gerald,
English_US,"Почему вы подумали, что я не настоящий рыцарь?",
Description,,
French,Qu'est-ce qui te fait dire que je ne suis pas un vrai chevalier ?,
Italian,Cosa ti ha fatto pensare che non fossi un vero cavaliere?,
German,"Warum denkst du, ich wäre kein richtiger Ritter?",
Spanish_Spain,¿Qué te ha hecho pensar que no soy un caballero de verdad?,
Spanish_LATAM,¿Qué te hace pensar que no soy un caballero de verdad?,
Korean,어떤 부분 때문에 못 믿겠어요?,
Russian,What made you think I'm not a real knight?,
Japanese,どこを見て本物じゃないと思うんだろう？,
Portuguese_Brazil,O que te fez pensar que eu não sou um cavaleiro de verdade?,
Chinese_Simplified,是什么让你觉得我不是真正的骑士？,
Chinese_Traditional,你為什麼不相信我是真正的騎士？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0016-Choice,
English_US,Просто ваше... всё.,
Description,,
French,C'est simplement ton… l'ensemble…,
Italian,È semplicemente il tuo... insieme.,
German,"Naja, dein ganzes …alles.",
Spanish_Spain,Es solo tu... todo.,
Spanish_LATAM,Pues la verdad que... todo.,
Korean,그냥... 다요.,
Russian,It's just your... everything.,
Japanese,それは…どこもかしこもだ。,
Portuguese_Brazil,Só... tudo em você.,
Chinese_Simplified,因为你的……一切。,
Chinese_Traditional,因為你的……一切。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0017-Choice,
English_US,"{{Джеральд}}, вам что-нибудь нужно или нет?",
Description,,
French,"{{Gerald}}, tu as besoin de quelque chose ou non ?",
Italian,"{{Gerald}}, hai bisogno di qualcosa oppure no?",
German,"{{Gerald}}, brauchst du irgendwas oder nicht?",
Spanish_Spain,"{{Gerald}}, ¿necesitas algo o no?",
Spanish_LATAM,"{{Gerald}}, ¿necesitas algo o no?",
Korean,"{{Gerald}} 씨, 필요한 게 있는 거예요, 뭐예요?",
Russian,"{{Gerald}}, do you need something or not?",
Japanese,{{ジェラルド}}、それで何か必要なの？,
Portuguese_Brazil,"{{Gerald}}, você precisa de alguma coisa ou não?",
Chinese_Simplified,{{Gerald}}，你到底想要什么？,
Chinese_Traditional,{{Gerald}}，你是要點東西喝還是不要？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0018-Gerald,
English_US,"Эх... Полагаю, я могу постараться улучшить это «всё»...",
Description,From [0016-Choice],
French,Ah… j'imagine que je vais devoir m'améliorer à tous niveaux…,
Italian,Sig... dovrò fare del mio meglio per migliorare nell'insieme...,
German,"Seufz … Ich schätze, ich kann mich bemühen, alles noch zu verbessern …",
Spanish_Spain,Ay... Supongo que tengo que esforzarme para mejorar en todo...,
Spanish_LATAM,Ya veo... Supongo que tendré que esforzarme para mejorar en todo...,
Korean,"휴... 그럼, 다 고쳐보려고 노력해야겠네요...",
Russian,Sigh... I guess I can do my best to improve on everything...,
Japanese,はぁ…どこもかしこも直せるように頑張るか…,
Portuguese_Brazil,Tsc... acho que posso fazer o máximo para melhorar tudo em mim.,
Chinese_Simplified,唉……我想我得尽我所能改进一切……,
Chinese_Traditional,唉……我或許可以盡力改善自己的一切……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0019-Gerald,
English_US,"Эй, если подумать, {{Тимоти}} ТОЖЕ постоянно просит меня всё улучшить!",
Description,,
French,"Tiens, puisque j'y pense... {{Timothy}} AUSSI n'arrête pas de me demander de m'améliorer sur tout !",
Italian,"Ehi, ora che ci penso, ANCHE {{Timothy}} mi chiede sempre di migliorare!",
German,"Hey, dabei fällt mir ein, dass {{Timothy}} auch immer will, dass ich in allem besser werde!",
Spanish_Spain,"Oye, ahora que lo pienso, ¡{{Timothy}} también me pide todo el rato que mejore en todo!",
Spanish_LATAM,"¡Ahora que lo pienso, {{Timothy}} siempre me está pidiendo que mejore en todo también!",
Korean,"아니, 그러고 보니 우리 {{Timothy}}도 맨날 나보고 다 고치라고 했었는데!",
Russian,"Hey, come to think of it, {{Timothy}} is ALSO constantly asking me to improve on everything!",
Japanese,そういえば、{{ティモシー}}にもしょっちゅう言われるよ。どこもかしこも直してくれって！,
Portuguese_Brazil,"Ei, pensando bem, o {{Timothy}} TAMBÉM me pede constantemente para melhorar em tudo!",
Chinese_Simplified,嘿，说起来，{{Timothy}}也总是要我进行全方位改进！,
Chinese_Traditional,說到這個，{{Timothy}}也一直要我改善一切！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0020-Gerald,
English_US,"Единственное, что мне нужно... это стать САМЫМ КРУТЫМ РЫЦАРЕМ, КОТОРОГО КОГДА-ЛИБО ВИДЕЛ {{ТИМОТИ}}!",
Description,From [0017-Choice],
French,La seule chose dont j'ai besoin… C'EST D'ÊTRE LE CHEVALIER LE PLUS COOL QUE {{TIMOTHY}} AIT JAMAIS VU !,
Italian,Tutto ciò di cui ho bisogno... è essere il CAVALIERE PIÙ FANTASTICO CHE {{TIMOTHY}} HA MAI VISTO!,
German,"Ich brauche nur eines: Der COOLSTE RITTER ZU SEIN, DEN {{TIMOTHY}} JEMALS GESEHEN HAT!",
Spanish_Spain,Lo único que necesito... ¡¡¡es ser el caballero más guay que {{TIMOTHY}} haya visto jamás!!!,
Spanish_LATAM,Lo único que necesito... ¡ES SER EL CABALLERO MÁS INCREÍBLE QUE {{TIMOTHY}} HAYA VISTO EN SU VIDA!,
Korean,내게 필요한 건 단 하나... 우리 {{TIMOTHY}} 앞에서 가장 멋진 기사가 되는 것입니다!,
Russian,The only thing I need... is to be the COOLEST KNIGHT THAT {{TIMOTHY}} HAS EVER SEEN!,
Japanese,僕に必要なのは…{{ティモシー}}が見たことないような最高にカッコいい騎士になることだけだ！,
Portuguese_Brazil,A única coisa que preciso... é ser o CAVALEIRO MAIS LEGAL QUE O {{TIMOTHY}} JÁ VIU!,
Chinese_Simplified,我唯一想要的……就是成为{{TIMOTHY}}眼中最酷的骑士！,
Chinese_Traditional,我只要……成為{{TIMOTHY}}見過最酷的騎士！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0021-Alta,
English_US,{{Тимоти}}?,
Description,,
French,{{Timothy}} ?,
Italian,{{Timothy}}?,
German,{{Timothy}}?,
Spanish_Spain,¿{{Timothy}}?,
Spanish_LATAM,¿{{Timothy}}?,
Korean,{{Timothy}}요?,
Russian,{{Timothy}}?,
Japanese,{{ティモシー}}？,
Portuguese_Brazil,{{Timothy}}?,
Chinese_Simplified,{{Timothy}}？,
Chinese_Traditional,{{Timothy}}？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0022-Gerald,
English_US,Мой сын! И он просто самый лучший сын на свете.,
Description,,
French,Mon fils ! Et c'est le fils le plus sacrément super du monde.,
Italian,Mio figlio! Il miglior figlio del mondo.,
German,Mein Sohn! Der ist einfach der beste verflixte Sohn der Welt.,
Spanish_Spain,¡Mi hijo! Y es el mejor hijo del mundo.,
Spanish_LATAM,¡Mi hijo! Y es el mejor hijo del mundo.,
Korean,우리 아들이요! 세상에서 제일가는 아들 녀석이랍니다.,
Russian,My son! And he's just the best darn son in the world.,
Japanese,僕の息子さ！ ティモシーは世界一の息子なんだ。,
Portuguese_Brazil,O meu filho! E ele é o melhor filho do mundo.,
Chinese_Simplified,我儿子！他是世上最好的儿子。,
Chinese_Traditional,我的兒子！而且他是世界上最讚的兒子。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0023-Gerald,
English_US,"Вот, у меня есть его фото, взгляните:",
Description,,
French,"Tiens, j'ai une photo de lui, regarde…",
Italian,"Ecco, ho una sua foto, guarda:",
German,"Hier, ich hab ein Foto von ihm, schau mal:",
Spanish_Spain,"Mira, aquí tengo una foto suya, fíjate:",
Spanish_LATAM,"Mira, aquí tengo una foto suya. Fíjate.",
Korean,"자, 여기 사진 좀 보세요.",
Russian,"Here, I've got a photo of him, look at this:",
Japanese,ほら、写真を持ってるから見るといい。,
Portuguese_Brazil,"Eu tenho uma foto dele aqui, olha só:",
Chinese_Simplified,你看，我有张他的相片：,
Chinese_Traditional,來，我有他的照片，你看看：,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0024-Gerald,
English_US,"Я возил его в Международный музей «Мир сыра», он был в восторге!!",
Description,,
French,"Je l'ai emmené au musée international du Fromage, il a adoré !!",
Italian,"Qui l'avevo portato al museo internazionale del Mondo del Formaggio, gli è piaciuto tantissimo!",
German,"Ich hab ihn ins Internationale Käsemuseum mitgenommen, das fand er super!",
Spanish_Spain,"Le llevé al Museo Internacional del Mundo del Queso, ¡le encantó!",
Spanish_LATAM,¡Lo llevé al Museo Internacional del Mundo del Queso y le encantó!,
Korean,세계 치즈 박물관에 데려갔을 때인데 정말 좋아하더군요!,
Russian,"I took him to the International World of Cheese Museum, he adored it!!",
Japanese,チーズの世界博物館に連れていってやったんだ。大喜びしてたよ！,
Portuguese_Brazil,"Eu levei ele no Museu Internacional do Mundo do Queijo, ele amou!!",
Chinese_Simplified,这是我带他去国际奶酪世界博物馆时拍的，他可喜欢了！！,
Chinese_Traditional,我帶他去國際乳酪世界博物館，他愛極了！！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0025-Gerald,
English_US,"Вы знали, что сыр — это НЕ растение?? С ума сойти, да?",
Description,,
French,"Tu savais que le fromage n'est PAS une plante ?? Dingue, non ?",
Italian,Lo sapevi che il formaggio NON è una pianta? Da non crederci!,
German,"Wusstest du, dass Käse KEINE Pflanze ist? Wahnsinn, oder?",
Spanish_Spain,"¿Sabías que el queso no es una planta? Qué fuerte, ¿verdad?",
Spanish_LATAM,"¿Sabías que el queso NO es una planta? Qué loco, ¿no?",
Korean,혹시 치즈가 식물이 아니라는 거 아셨어요?? 대박이죠?,
Russian,"Did you know cheese ISN'T a plant?? Wild, right?",
Japanese,チーズは植物じゃないって知ってたかい？ ワイルドだよな。,
Portuguese_Brazil,"Você sabia que queijo NÃO É uma planta?? Que loucura, né?",
Chinese_Simplified,你知道吗，奶酪居然不是植物？？太胡来了，对吧？,
Chinese_Traditional,你知道乳酪不是植物嗎？？超扯的，對吧？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0026-Gerald,
English_US,На день рождения {{Тимоти}} я сделал ему целую серию свитеров с моим лицом!,
Description,,
French,"Pour l'anniversaire de {{Timothy}}, je lui ai fabriqué une série de pulls avec ma tête dessus !",
Italian,"Per il compleanno di {{Timothy}}, gli ho regalato dei maglioni con la mia faccia stampata sopra!",
German,Zu {{Timothy}}s Geburtstag habe ich ihm ein paar Pullis mit meinem Gesicht drauf gemacht!,
Spanish_Spain,"¡Para el cumpleaños de {{Timothy}}, le hice algunos jerséis con mi cara!",
Spanish_LATAM,"¡Para el cumpleaños de {{Timothy}}, le hice algunos suéteres con mi cara!",
Korean,{{Timothy}} 녀석 생일에는 내 얼굴이 들어간 스웨터를 만들어 선물했어요!,
Russian,"For {{Timothy}}'s birthday, I made him a series of sweaters with my face on them!",
Japanese,{{ティモシー}}の誕生日には、“パパの顔シリーズ”のセーターを作ってやったんだ！,
Portuguese_Brazil,"No aniversário do {{Timothy}}, eu fiz vários blusões pra ele com o meu rosto!",
Chinese_Simplified,为了替{{Timothy}}庆祝生日，我给他做了一系列印有我脸庞的毛衣！,
Chinese_Traditional,{{Timothy}}生日的時候，我織了一堆毛衣給他，上面有我的臉！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0027-Gerald,
English_US,"Это чтобы, если он вдруг меня забудет, он мог просто посмотреть вниз на своё туловище — и вот он я!",
Description,,
French,"Comme ça, s'il m'oublie, il a juste à baisser le regard sur son torse et hop ! Il me voit !!",
Italian,"Così che, se mai dovesse dimenticarsi di me, gli basterebbe guardarsi allo specchio per ricordarsi!",
German,"Falls er mich mal vergisst, kann er einfach an sich runterschauen, und da bin ich!",
Spanish_Spain,"Es para que si alguna vez me olvida, pueda mirar su torso y ¡allí estoy!",
